;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkAddMulti/items_1000-2;1;0.17436791630340842;-3.07776861775213;1.7484071714328087;-2.0874471086036683;1.408855664174813;-1.4104372355430161;1.1889035667107084
11;BenchmarkAddMulti/items_1000-2;6;0.7064590542099181;-1.519931172928013;2.360266434984082;-1.0425716768027837;1.701458392908206;-0.8374241986716768;1.5127729413443758
1;BenchmarkAddMulti/items_1000-2;11;0.5336795038223041;-5.342129090673908;1.5029522275899154;-2.3876217153528057;1.1317469529889657;-1.7981749865807806;1.0111223458038499
2;BenchmarkAddMulti/items_1000-2;16;-0.6122448979591799;-2.982107355864816;1.8262930433570412;-2.80316879951249;1.4170602945262623;-2.4315644593974617;1.1661807580174877
3;BenchmarkAddMulti/items_1000-2;21;-0.7045354469396692;-1.915264074289036;0.5589879376287188;-1.615485373308112;0.3236245954692629;-1.5084944346807294;0.1907836806574803
4;BenchmarkAddMulti/items_1000-2;26;-0.902830910482022;-2.341239479724555;4.767744902652149;-1.8648731274839458;4.553119730185506;-1.6694746515546033;4.4475011462631775
5;BenchmarkAddMulti/items_1000-2;31;-0.6931407942238232;-2.3175965665236054;0.5996573386636284;-2.074985689753861;0.28956131460837753;-1.8385521401895977;0.159351006808639
6;BenchmarkAddMulti/items_1000-2;36;-3.9067055393586014;-5.156591405680988;12.609713282621415;-4.897543961633488;10.82308142940831;-4.823856161379913;10.313182811361976
7;BenchmarkAddMulti/items_1000-2;41;-3.6710719530102742;-4.900102085460112;-2.566345873432485;-4.534849810440367;-3.047254526718679;-4.360507510573141;-3.189133323490334
8;BenchmarkAddMulti/items_1000-2;46;-3.3314187248707605;-4.781734635267087;-2.3439746908254233;-4.421233366719135;-2.645198389879244;-4.2049368541905885;-2.860839562967221
9;BenchmarkAddMulti/items_1000-2;51;-3.727165586328818;-5.1352590554791355;-2.95252225519288;-5.012990982729637;-3.181414619709977;-4.76815398075241;-3.2997928381177877
10;BenchmarkAddMulti/items_1000-2;56;-4.662986635676935;-7.101412714429866;-0.4957791772745579;-6.253569388920621;-1.6213319040600305;-5.708370304643595;-3.075907590759075
12;BenchmarkAddMulti/items_1000-2;61;-4.859757012149391;-6.615182864636459;-2.1986129555850664;-5.8806058806058825;-2.9290617848970246;-5.628155628155628;-3.392939018798713
13;BenchmarkAddMulti/items_1000-2;66;-1.33986457282812;-5.501306560308072;0.4826678367705117;-4.841635272778011;0.33041229708374864;-4.409097251290639;-0.01440714594438397
