;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkAppendDecimalToFloat/Ones-2;1;0.580684596577008;-1.1930253900275356;1.3799448022079108;-0.9497549019607865;1.1039558417663242;-0.7337205747477871;1.038802322028709
11;BenchmarkAppendDecimalToFloat/Ones-2;6;1.2379227053140207;-0.8833384099908637;2.411477411477403;-0.6908981676179038;2.099817407181992;-0.520833333333337;1.85636031649421
1;BenchmarkAppendDecimalToFloat/Ones-2;11;0.12139605462822001;-2.3268546400219026;1.139772045590881;-2.031850631521137;0.837320574162681;-1.7096580683863216;0.7012195121951281
2;BenchmarkAppendDecimalToFloat/Ones-2;16;0.27881040892192566;-1.2499999999999956;1.0532837670384154;-1.0107197549770297;0.7411982705373577;-0.8231707317073123;0.5875077303648668
3;BenchmarkAppendDecimalToFloat/Ones-2;21;0.0;-0.5535055350553542;0.6487488415199305;-0.40073982737360847;0.4604051565377576;-0.3375268487265992;0.3712871287128605
4;BenchmarkAppendDecimalToFloat/Ones-2;26;0.09404388714733258;-0.4365450576863106;2.157598499061919;-0.280636108512633;1.2584407612031834;-0.2149217070924192;0.7400555041628065
5;BenchmarkAppendDecimalToFloat/Ones-2;31;0.7074746231928719;-2.0895522388059695;1.6014782876501377;-1.4449127031908482;1.4166923313828184;-0.9933774834437137;1.3567684242984823
6;BenchmarkAppendDecimalToFloat/Ones-2;36;0.24737167594310883;-0.6711409395973145;0.9724473257698651;-0.4604051565377576;0.8032128514056325;-0.27658266748616933;0.6798516687268163
7;BenchmarkAppendDecimalToFloat/Ones-2;41;-0.2763279091188231;-1.5752802181157266;0.8920332205475168;-1.0362694300518172;0.5229160258382048;-0.9445460085313884;0.36900369003689537
8;BenchmarkAppendDecimalToFloat/Ones-2;46;-0.1209921355111887;-2.057858634059051;1.0000000000000009;-1.526032315978454;0.7003654080389721;-1.3237063778580027;0.5482790130977744
9;BenchmarkAppendDecimalToFloat/Ones-2;51;-0.15408320493066618;-1.098574821852727;0.6471494607087847;-0.800985828712264;0.5538461538461492;-0.6779661016949157;0.4844081138358991
10;BenchmarkAppendDecimalToFloat/Ones-2;56;-0.2476780185758476;-1.9770237777184119;1.5392924655684537;-1.2520413718018486;0.588235294117645;-0.9181744531460923;0.4028509451502904
12;BenchmarkAppendDecimalToFloat/Ones-2;61;0.0936037441497728;-0.3984063745019917;0.5954246317768641;-0.30646644192461325;0.46948356807512415;-0.21472392638036686;0.4368174726989027
13;BenchmarkAppendDecimalToFloat/Ones-2;66;-1.4753614635585666;-4.222340994120788;5.1562026084319035;-3.0097373856594833;3.2567606862460075;-2.87874382087816;2.6894158473105945
