;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkAppendDecimalToFloat/RealFloat-2;1;0.05681357032707446;-0.2923264311814888;0.46405601237482497;-0.21940516821062905;0.3582186762191686;-0.16221915808256604;0.29251645405055093
11;BenchmarkAppendDecimalToFloat/RealFloat-2;6;0.09740259740260715;-0.664797757308766;0.29265913340379424;-0.6318988961766081;0.24386278653878435;-0.5772005772005762;0.20323550930818612
1;BenchmarkAppendDecimalToFloat/RealFloat-2;11;-0.08903278025090833;-1.2402742469763472;0.6529850746268551;-1.0267891608121693;0.4314204314204373;-0.6740528395444367;0.3403289846851898
2;BenchmarkAppendDecimalToFloat/RealFloat-2;16;-0.08953280156275278;-0.4541399724272144;0.4469727752945962;-0.30645161290322465;0.3653487050418125;-0.23569570871261325;0.3253884324412315
3;BenchmarkAppendDecimalToFloat/RealFloat-2;21;0.024424000651301903;-0.13026133680696939;0.15469793193290116;-0.09770395701026446;0.11388595135441992;-0.08948909860071463;0.09770395701025336
4;BenchmarkAppendDecimalToFloat/RealFloat-2;26;0.024487796914529625;-0.4144319843978561;0.1791093381095843;-0.26875152699731286;0.13025073266037523;-0.21988761299780446;0.08983992159425913
5;BenchmarkAppendDecimalToFloat/RealFloat-2;31;-0.032541490400261885;-0.4928496404621452;0.23432449903038055;-0.3319031814134177;0.12218963831867047;-0.23523685918235282;0.10563094174047549
6;BenchmarkAppendDecimalToFloat/RealFloat-2;36;-0.032560032560036145;-0.4773462783171478;0.8092572984419899;-0.2437043054427268;0.12210012210012167;-0.19478938397857748;0.06517311608962295
7;BenchmarkAppendDecimalToFloat/RealFloat-2;41;0.016281341582535802;-0.20320247094204325;0.4153094462540752;-0.13829008378751784;0.26052267361393877;-0.12193139326939217;0.17909475740800485
8;BenchmarkAppendDecimalToFloat/RealFloat-2;46;-0.07286859363614395;-0.30736876162743565;0.2516846634732506;-0.2670118941661914;0.19430051813471572;-0.24265954865323458;0.1460446247464553
9;BenchmarkAppendDecimalToFloat/RealFloat-2;51;0.008139345596624992;-0.3825803825803775;0.14663951120161833;-0.22831050228310223;0.10590631364562064;-0.16268098259313302;0.09766419793277858
10;BenchmarkAppendDecimalToFloat/RealFloat-2;56;0.0;-1.6666666666666718;0.9020521686837535;-1.1102831594634877;0.4887983706721055;-0.8575441709174236;0.22031823745409795
12;BenchmarkAppendDecimalToFloat/RealFloat-2;61;0.008154611432775738;-0.16282667100870896;0.21217561612534297;-0.1546853374582713;0.15493761722253918;-0.0977756049865608;0.1306335728282093
13;BenchmarkAppendDecimalToFloat/RealFloat-2;66;0.2590673575129543;-1.3238665779158332;2.5234209731036517;-0.79155672823219;1.5666965085049167;-0.6330528040515371;1.084844559585485
