;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkAppendFloatToDecimal/Integers-2;1;-0.1398971918311176;-0.4937492459186843;0.24488847583643558;-0.39138580252638944;0.17482273625479827;-0.3309677329637384;0.1137334274148527
11;BenchmarkAppendFloatToDecimal/Integers-2;6;-0.004640608105288546;-0.7591823077514381;0.3956573964551291;-0.5602240896358524;0.24688761584286123;-0.45156050585914986;0.20232394104762186
1;BenchmarkAppendFloatToDecimal/Integers-2;11;-0.05988440916370186;-0.3764614473878991;1.5332956116022256;-0.30013705949311076;0.8115511521803009;-0.26712503774593;0.42289597025944037
2;BenchmarkAppendFloatToDecimal/Integers-2;16;-0.10601101026632698;-1.0682924358448975;0.14378647011195067;-0.8133636522651755;0.05169089774514912;-0.39033345231859196;0.036784392242683595
3;BenchmarkAppendFloatToDecimal/Integers-2;21;-0.011172924280156149;-0.40645107223002963;0.21695104634651408;-0.2313191228453193;0.1572802613271973;-0.19878494448453132;0.12764847287702885
4;BenchmarkAppendFloatToDecimal/Integers-2;26;0.10146708370568636;-0.36797290086076906;0.33923262597739257;-0.3026687773016956;0.27232101294105693;-0.27809244368511843;0.23880458057909948
5;BenchmarkAppendFloatToDecimal/Integers-2;31;0.05906756957880788;-0.3896435620573513;0.5665589955264227;-0.3077337244599576;0.3677862260086151;-0.25774991292232263;0.3080172899131206
6;BenchmarkAppendFloatToDecimal/Integers-2;36;0.02650349195130186;-0.5263231372767962;0.36423009294146436;-0.2972251248113289;0.2663351445985729;-0.22910092988024378;0.21697933108904
7;BenchmarkAppendFloatToDecimal/Integers-2;41;-0.06977068700869671;-0.37481050213447054;0.4008156622110848;-0.2750124266594822;0.11267133492252057;-0.24719007150855177;0.0596139068066881
8;BenchmarkAppendFloatToDecimal/Integers-2;46;0.05711260934975204;-0.2788927817350739;0.40978072074839833;-0.2111319922971644;0.321063831764401;-0.18140652692332226;0.29052200994748034
9;BenchmarkAppendFloatToDecimal/Integers-2;51;0.07218367251897728;-0.5439584075340065;0.48236231701690446;-0.2830784080784077;0.39235262283763284;-0.1880318864937447;0.29662501459768453
10;BenchmarkAppendFloatToDecimal/Integers-2;56;0.02600466226445608;-1.4641820965463626;1.1133685147561856;-0.6473292338658121;0.7900912757738077;-0.4181178179651024;0.7309106105704899
12;BenchmarkAppendFloatToDecimal/Integers-2;61;0.12587060501805247;-0.23944648881423225;0.7306801234371108;-0.06654846170671691;0.6499192283379696;-0.03398415314284087;0.5950066294045708
13;BenchmarkAppendFloatToDecimal/Integers-2;66;0.06157663976740224;-0.42988410213787853;3.768737799712718;-0.24808153366225882;2.515357258325257;-0.20593803389203913;2.2412970910824948
