;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkAppendFloatToDecimal/Zeros-2;1;0.1984914648670122;-1.29057489245209;0.7971303308090816;-0.7427677873338534;0.6382130035899491;-0.588235294117645;0.5964214711729587
11;BenchmarkAppendFloatToDecimal/Zeros-2;6;-0.3567181926278251;-0.9448818897637823;19.244118781334365;-0.6732673267326739;18.478678447944684;-0.6324110671936722;0.5577689243027928
1;BenchmarkAppendFloatToDecimal/Zeros-2;11;0.19770660340054924;-0.7830853563038365;1.5424164524421524;-0.6329113924050667;0.9520031733439183;-0.5537974683544333;0.8330027766759285
2;BenchmarkAppendFloatToDecimal/Zeros-2;16;0.07952286282306709;-7.300884955752207;20.48722044728435;-3.5141329258976284;15.569763068822873;-2.2930431403031526;2.575452716297777
3;BenchmarkAppendFloatToDecimal/Zeros-2;21;-0.1988071570576566;-16.733200266134396;0.27944111776447844;-16.422385076615587;0.1994415636218605;-0.9126984126984095;0.15955325089749284
4;BenchmarkAppendFloatToDecimal/Zeros-2;26;1.2444801284624551;-0.4006410256410242;19.72679791080756;-0.12053033346726139;18.11335711454618;-0.08028904054596664;2.3079984082769567
5;BenchmarkAppendFloatToDecimal/Zeros-2;31;-0.27700831024930483;-16.605412629468763;1.2618296529968376;-15.736719011025723;0.7157057654075594;-2.1193092621664023;0.5540166204986097
6;BenchmarkAppendFloatToDecimal/Zeros-2;36;-0.03980891719744806;-0.7911392405063333;14.171656686626743;-0.5154639175257714;13.09904153354633;-0.397298371076682;12.674372259864498
7;BenchmarkAppendFloatToDecimal/Zeros-2;41;-0.3974562798092163;-16.694379780512136;0.07980845969672856;-16.22704507512521;0.0;-2.7152831652443754;-0.03987240829346206
8;BenchmarkAppendFloatToDecimal/Zeros-2;46;0.039525691699604515;-0.4731861198738141;0.8300395256916948;-0.35530990919857564;0.6321612011062738;-0.2766798418972316;0.474120900829722
9;BenchmarkAppendFloatToDecimal/Zeros-2;51;0.0;-0.3969829297340244;0.9916699722332334;-0.2778880508138126;0.7140023800079387;-0.2358490566037763;0.513022888713488
10;BenchmarkAppendFloatToDecimal/Zeros-2;56;-0.11947431302270495;-14.587593728698023;15.28611444577832;-12.438853948287909;11.691939345570624;-11.969111969111967;10.911987256073274
12;BenchmarkAppendFloatToDecimal/Zeros-2;61;0.20032051282050656;-1.347068145800312;2.8169014084507005;-1.1093502377179099;1.523656776263027;-0.9141494435612074;1.1627906976744207
13;BenchmarkAppendFloatToDecimal/Zeros-2;66;-3.05775764439411;-15.964450296247534;2.407825432656141;-10.860366713681247;0.3215434083601254;-9.736379613356771;0.24096385542169418
