;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkBlockStreamReaderBlocksBestCase-2;1;-0.4444444444444473;-1.2094395280236037;0.7798440311937549;-1.0616337363609563;0.5906674542232704;-0.9728773584905648;0.39015606242496226
11;BenchmarkBlockStreamReaderBlocksBestCase-2;6;0.23760023760024396;-1.2801862089031113;0.9880239520958067;-0.9198813056379818;0.8083832335329388;-0.6986899563318771;0.7170600537794947
1;BenchmarkBlockStreamReaderBlocksBestCase-2;11;-0.4749183734045759;-2.5195482189400487;0.655151876116733;-2.1035150844173844;0.32650638171565216;-1.8584312653730506;0.1103752759381793
2;BenchmarkBlockStreamReaderBlocksBestCase-2;16;-0.9600960096009636;-2.3317591499409707;0.0;-2.1327014218009532;-0.33343437405274345;-1.9976147883124629;-0.5403782647853461
3;BenchmarkBlockStreamReaderBlocksBestCase-2;21;-0.657108721624855;-1.2835820895522376;0.17947950942267532;-1.1034894124664518;0.029868578255665135;-1.0155316606929476;-0.059683676514477035
4;BenchmarkBlockStreamReaderBlocksBestCase-2;26;-0.6938159879336325;-1.7111978384869442;-0.15087507543753986;-1.501501501501501;-0.3313253012048212;-1.3830426939266394;-0.3928679359323062
5;BenchmarkBlockStreamReaderBlocksBestCase-2;31;-0.41916167664670656;-1.220238095238091;0.4515352197471456;-0.9847806624888045;0.30057108506160723;-0.893655049151032;0.1492091912861815
6;BenchmarkBlockStreamReaderBlocksBestCase-2;36;-0.7473841554558991;-1.583034647550774;0.059737156511352474;-1.3743651030773796;-0.29967036260113433;-1.3064133016627122;-0.3900390039003887
7;BenchmarkBlockStreamReaderBlocksBestCase-2;41;-0.4174120453190211;-1.1286011286011255;0.8724428399518702;-0.9809750297265163;0.6608591168518974;-0.9212481426448704;0.5106638630219207
8;BenchmarkBlockStreamReaderBlocksBestCase-2;46;-1.627700503107432;-2.213695395513582;-0.7174887892376636;-2.12389380530974;-1.008602788490065;-2.039007092198586;-1.097597152180363
9;BenchmarkBlockStreamReaderBlocksBestCase-2;51;-1.0158350761876322;-1.9406057042046454;0.1209555488357994;-1.6964285714285765;-0.33152501506932275;-1.5717674970344042;-0.423344420925309
10;BenchmarkBlockStreamReaderBlocksBestCase-2;56;0.029726516052308583;-1.449275362318836;2.028034595884276;-1.0077059869590954;1.5672257354962804;-0.7431629013079699;1.34726422875997
12;BenchmarkBlockStreamReaderBlocksBestCase-2;61;-2.223557692307687;-3.0704394942805524;-1.1407985589912961;-2.879424115176965;-1.7490952955367955;-2.820282028202825;-1.8941671677690897
13;BenchmarkBlockStreamReaderBlocksBestCase-2;66;-2.694786174575281;-5.332192757342458;0.05922416345869319;-4.570278815751649;-0.2644725242433199;-4.212348528563181;-0.7052600646488383
