;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkBlockStreamReaderRowsBestCase-2;1;0.009341395676365494;-0.39108288017665194;0.4782366629073831;-0.27310886522906586;0.31299409505984865;-0.22082359287898257;0.27021409270422403
11;BenchmarkBlockStreamReaderRowsBestCase-2;6;-2.120754093769861;-2.469326143233108;-1.021348022916313;-2.366124347766918;-1.149016525780855;-2.310469573722862;-1.3241142120159033
1;BenchmarkBlockStreamReaderRowsBestCase-2;11;0.18095258611403597;-1.715638602539249;0.5767753698612488;-1.1741544197103937;0.4561081166430947;-1.0578808573940113;0.3551522260883955
2;BenchmarkBlockStreamReaderRowsBestCase-2;16;-0.22243612622259157;-0.7552902641899784;0.21732851985558632;-0.6147629387825537;0.11903862821467381;-0.5326529214823461;0.077509039717083
3;BenchmarkBlockStreamReaderRowsBestCase-2;21;-2.2978514674005135;-2.601496130139569;-2.1151145115341996;-2.5291723788037457;-2.162292787788722;-2.494632009408815;-2.2060865769948035
4;BenchmarkBlockStreamReaderRowsBestCase-2;26;-0.10461955046173754;-0.7172986668970038;0.39161092026758215;-0.41175456986545234;0.2616058182870695;-0.3194348625963017;0.19634785753028794
5;BenchmarkBlockStreamReaderRowsBestCase-2;31;-2.6062907738673258;-3.060536075703113;-1.8680254045713829;-2.925782646858033;-2.185155615015577;-2.867913450660864;-2.3215990218825144
6;BenchmarkBlockStreamReaderRowsBestCase-2;36;-1.9279732839018182;-2.5887654365721158;6.379412060952272;-2.1993062784323225;-1.22727661787847;-2.151340664415391;-1.4586960588226838
7;BenchmarkBlockStreamReaderRowsBestCase-2;41;0.21602478334408204;-0.17204223834494936;0.45000957082954596;-0.04826133150852563;0.39695439539402244;-0.025536996273756163;0.3771199450936402
8;BenchmarkBlockStreamReaderRowsBestCase-2;46;-1.0432398771732632;-1.5756022005020576;-0.47932058719453163;-1.4292581317096653;-0.6443423381545799;-1.3111894335861018;-0.7130354477411616
9;BenchmarkBlockStreamReaderRowsBestCase-2;51;-0.12553324652715414;-0.41739815843215844;0.44271975947118847;-0.3344577724609388;0.37918269057972687;-0.27642083544513474;0.3396470545951269
10;BenchmarkBlockStreamReaderRowsBestCase-2;56;-0.3294214535721651;-1.6940539264543863;2.4674140073500217;-1.0013748248420273;1.4501258983370846;-0.9065251302117772;0.39691457578721057
12;BenchmarkBlockStreamReaderRowsBestCase-2;61;0.2504689516085401;-0.06709521026773135;0.596280107272662;0.04441635821974543;0.4878523678688129;0.07648956206118829;0.4136280312535101
13;BenchmarkBlockStreamReaderRowsBestCase-2;66;-0.3189673299048845;-1.7687917649694906;1.8421620903307234;-1.6206476650595492;1.1019264098595771;-1.084204461272531;0.8020097924770875
