;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkBlockStreamWriterBlocksWorstCase-2;1;-0.27626137136876894;-2.692422370759795;2.2381759934546164;-2.240861487533663;1.5437118001608185;-1.8310764778266542;1.361629073212156
11;BenchmarkBlockStreamWriterBlocksWorstCase-2;6;0.6637973681355325;-2.0230145774950303;2.7216754172977975;-1.2774821116595558;2.2486802962641717;-0.9244605190715349;1.9801503342069982
1;BenchmarkBlockStreamWriterBlocksWorstCase-2;11;0.2146211491535377;-3.4704001427346753;5.381341163824294;-2.6653286024324263;3.352940918116065;-2.1735609778810616;2.6498065310545993
2;BenchmarkBlockStreamWriterBlocksWorstCase-2;16;-0.22313811627188151;-2.592995270719345;4.277597227901775;-1.9587441798130878;3.6832450530780214;-1.623895472201442;3.334870002830348
3;BenchmarkBlockStreamWriterBlocksWorstCase-2;21;-1.1174290687624766;-4.398295873522184;2.5432292461345485;-3.4895240225330526;1.4261886287652903;-3.016400844004574;1.0453072056192614
4;BenchmarkBlockStreamWriterBlocksWorstCase-2;26;0.9221819550930821;-2.183478839028785;4.084969425208351;-1.71064464108317;2.890872043493875;-1.438606598163883;2.341449959710329
5;BenchmarkBlockStreamWriterBlocksWorstCase-2;31;-0.7269451861624643;-4.129780903621949;2.535324013947693;-3.2925085047085023;1.7572770226914836;-2.9511450307688425;1.3856818540084692
6;BenchmarkBlockStreamWriterBlocksWorstCase-2;36;-0.6075979517492835;-4.034707352836897;5.961915326940015;-2.8972839389446614;3.983907200538095;-2.279058934550582;3.2897551597911523
7;BenchmarkBlockStreamWriterBlocksWorstCase-2;41;-0.5371226879158808;-3.779723630317333;1.9887727108736541;-3.3647685912209346;1.0992943071314265;-2.732537205853014;0.7459949672159016
8;BenchmarkBlockStreamWriterBlocksWorstCase-2;46;0.27913071893506114;-2.1445279592272715;2.1014249461098533;-1.4005043007849105;1.6061820454156273;-0.931632647496683;1.4060914988625939
9;BenchmarkBlockStreamWriterBlocksWorstCase-2;51;-0.8127777852148466;-3.8149270326850226;1.0676510575378106;-3.2499844584921167;0.5795407241469652;-3.032067486699186;0.3126907518975486
10;BenchmarkBlockStreamWriterBlocksWorstCase-2;56;-1.6037952560981616;-6.463517878841496;2.4245041210688933;-4.280836047704706;1.635870212139623;-3.598466433482339;0.5105041871679816
12;BenchmarkBlockStreamWriterBlocksWorstCase-2;61;0.3984455326550451;-2.916207258233694;3.237857562222435;-2.2016446402349454;2.4582036208350644;-1.7760641535961796;2.070917373324832
13;BenchmarkBlockStreamWriterBlocksWorstCase-2;66;1.8688249649371436;-3.339304294901113;5.174164322371344;-2.103351223635941;4.037671582773483;-1.6237502827490813;3.5600310687156966
