;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkBlockStreamWriterRowsBestCase-2;1;0.06267848533174636;-0.6292843533044712;0.8868608438057812;-0.3894187060845766;0.5332460703780795;-0.3031843567186887;0.39250490166953256
11;BenchmarkBlockStreamWriterRowsBestCase-2;6;0.13560778966712483;-0.5628859551722765;1.0163415185952207;-0.388624048796371;0.8057636501130672;-0.3137940071634482;0.6868819901013401
1;BenchmarkBlockStreamWriterRowsBestCase-2;11;0.696976314649822;-0.6955843662253325;2.049807993080588;-0.10190254610268346;1.4079784337941437;0.02863099782697276;1.2773140419217288
2;BenchmarkBlockStreamWriterRowsBestCase-2;16;0.21616722875097416;-0.38812870511912845;1.0190250010156943;-0.22668200286807272;0.8576582971046687;-0.1475341775154959;0.7084052018659248
3;BenchmarkBlockStreamWriterRowsBestCase-2;21;0.06053830812142724;-0.3392448660574088;0.5511061327359235;-0.1642060470822826;0.38330874793259806;-0.11516756881262413;0.3290601475739674
4;BenchmarkBlockStreamWriterRowsBestCase-2;26;0.050971455984649694;-0.41510033747694797;0.6995637129532106;-0.32151485665025126;0.5740798993394192;-0.2191914271797324;0.48872631326457583
5;BenchmarkBlockStreamWriterRowsBestCase-2;31;0.13574509593023976;-0.6003323333921506;0.5442968132540082;-0.45598179043403464;0.4380190117311944;-0.36807632857762673;0.38352225355453573
6;BenchmarkBlockStreamWriterRowsBestCase-2;36;-0.021198101840147476;-0.4815006277232081;0.9645999949858375;-0.38019573039453913;0.48890742409462007;-0.32671973387192743;0.3813354187613971
7;BenchmarkBlockStreamWriterRowsBestCase-2;41;-0.5562671273680486;-0.9066842904508543;-0.09630150178288055;-0.7840071476435062;-0.20586702404884472;-0.7311395422463063;-0.24452425702961023
8;BenchmarkBlockStreamWriterRowsBestCase-2;46;-0.33667666830689;-0.919639936338279;0.22143145437512057;-0.7968112799864313;-0.00777377572286353;-0.7502343329077177;-0.0859918530132342
9;BenchmarkBlockStreamWriterRowsBestCase-2;51;-0.470798569725861;-1.4918066577347178;1.879151930238221;-0.9950970545127169;0.4919138694915004;-0.8935617919111905;0.2604370503725084
10;BenchmarkBlockStreamWriterRowsBestCase-2;56;0.005958698769159554;-2.3217704461711675;0.5284173601522557;-1.9802876655629187;0.39803516722694;-1.6896580661403537;0.32255304267596596
12;BenchmarkBlockStreamWriterRowsBestCase-2;61;0.024285356677156145;-0.32506383851186316;0.8992932796508368;-0.29266583154378134;0.7276197292300335;-0.25948460987831323;0.6795827123696085
13;BenchmarkBlockStreamWriterRowsBestCase-2;66;-0.3300545971371083;-2.1126402186793403;4.036959376944171;-1.9748333381852001;3.2739398208648574;-1.328594459914989;3.0989342928068764
