;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkBlockStreamWriterRowsWorstCase-2;1;0.37736179529281877;-3.127199198514319;3.424572371683543;-2.462568337356097;2.9017217745237023;-2.190106457498453;2.5707388255949537
11;BenchmarkBlockStreamWriterRowsWorstCase-2;6;-1.111103575093575;-4.233581468105452;3.4568065543332693;-3.2381920375659345;2.394281392927855;-2.8698978941158804;1.718321531908984
1;BenchmarkBlockStreamWriterRowsWorstCase-2;11;-1.9237454180501712;-7.3404862485880855;3.4047818727805934;-6.2662976380096325;2.023002598448209;-5.117945876576835;1.186596723049016
2;BenchmarkBlockStreamWriterRowsWorstCase-2;16;0.8199727370256538;-5.340859586441571;5.6249492197572915;-4.139462557485896;4.201344567550214;-3.99238517336441;3.338402488076464
3;BenchmarkBlockStreamWriterRowsWorstCase-2;21;0.5158645783788662;-2.851393180393591;3.2384361873505796;-1.8759436194354495;2.4100167193938704;-1.2073980051796496;2.0096896672330944
4;BenchmarkBlockStreamWriterRowsWorstCase-2;26;0.5922605162339556;-5.479810635959737;2.873387390155324;-3.9296890505601367;2.193502085223864;-3.3438092876248993;1.9198604135519215
5;BenchmarkBlockStreamWriterRowsWorstCase-2;31;1.0987533510402159;-3.707009278334794;4.954143238094222;-2.5431963520945677;4.186085772972592;-1.822926926651658;3.8471367142831614
6;BenchmarkBlockStreamWriterRowsWorstCase-2;36;-0.0011740724258912927;-3.4868197526264466;6.848000551025146;-2.689960385057566;3.361931455540579;-2.4336786268741917;2.2011626726429645
7;BenchmarkBlockStreamWriterRowsWorstCase-2;41;0.8208853838206354;-2.5288516811816875;4.2504514707724095;-1.5977835510514127;3.155847637764464;-1.1536679778464287;2.7936932142824444
8;BenchmarkBlockStreamWriterRowsWorstCase-2;46;0.09831040161834004;-2.413431777821118;2.900161185488148;-2.1168667906923733;2.18397704568829;-1.7501411791309596;1.9856904261567943
9;BenchmarkBlockStreamWriterRowsWorstCase-2;51;1.5746509990146151;-1.0536448721057412;5.4149562131946105;-0.5179701976783857;4.675579639168981;-0.22899657039648913;4.275210244842009
10;BenchmarkBlockStreamWriterRowsWorstCase-2;56;1.1368102008734393;-5.385436806567712;5.208100639662039;-3.174015123760743;3.9099816211244587;-2.7224826415350956;3.480553705494116
12;BenchmarkBlockStreamWriterRowsWorstCase-2;61;0.39053828404842506;-2.927336511541656;3.969558752547031;-2.2228060864286747;3.2721959261235556;-1.8431414272376712;2.7310638568386336
13;BenchmarkBlockStreamWriterRowsWorstCase-2;66;0.6401506753726194;-2.332067525979331;6.6203467898988455;-1.4977879467265809;5.161181956376715;-1.0593501021538998;4.640985394255837
