;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkDeduplicateSamples/minScrapeInterval=2s-2;1;0.03481692102362821;-2.2107161556809585;0.5834646128712206;-1.5435694315004689;0.4128146985289849;-0.5934027575775214;0.34304320018605505
11;BenchmarkDeduplicateSamples/minScrapeInterval=2s-2;6;-0.31357064049706285;-2.683840217884703;0.6403166656964832;-2.4058102587380836;0.32679738562091387;-2.2508405037324097;0.13425952950791853
1;BenchmarkDeduplicateSamples/minScrapeInterval=2s-2;11;-0.09281819236570676;-1.968568165751261;0.9456527785503654;-1.2779378976562117;0.7942679404576714;-0.68623493454818;0.5647438483259437
2;BenchmarkDeduplicateSamples/minScrapeInterval=2s-2;16;-0.017486593611559798;-0.3541569902461683;0.39557882489820173;-0.2501454333915021;0.25542784163474774;-0.22059677232091346;0.23799849074128687
3;BenchmarkDeduplicateSamples/minScrapeInterval=2s-2;21;0.01166112763104632;-0.17472335468841083;0.2221572639579117;-0.12230634828188647;0.1576090129005836;-0.0989522700814871;0.14017872787803753
4;BenchmarkDeduplicateSamples/minScrapeInterval=2s-2;26;-0.01171920778155755;-0.5477536274109851;0.2672554032070673;-0.3198232249810973;0.12902469063398314;-0.27343068241316715;0.1221711559718397
5;BenchmarkDeduplicateSamples/minScrapeInterval=2s-2;31;-0.2439591078066905;-0.8250158656897266;0.3214682330936913;-0.6010171058714708;0.24529844644316512;-0.4802406989527275;0.13380650415963924
6;BenchmarkDeduplicateSamples/minScrapeInterval=2s-2;36;-0.0817327339599494;-0.461259998832253;0.20332816095030015;-0.3623611922852099;0.11771630370807085;-0.2924318633758305;0.058445353594382965
7;BenchmarkDeduplicateSamples/minScrapeInterval=2s-2;41;0.07587696258681831;-0.2558288272573983;0.356038055215091;-0.1630371491789906;0.2682528574760923;-0.12227786188424572;0.23898344602470978
8;BenchmarkDeduplicateSamples/minScrapeInterval=2s-2;46;-0.07536668792393897;-0.7144503341783848;0.5861528640241476;-0.5428191950106798;0.4404265183124645;-0.4316298342541436;0.3652385645544598
9;BenchmarkDeduplicateSamples/minScrapeInterval=2s-2;51;-0.04085444146142425;-0.6070865682096804;0.16882058446849868;-0.4114987828909289;0.09949084099023509;-0.27301771710717126;0.04702839339250087
10;BenchmarkDeduplicateSamples/minScrapeInterval=2s-2;56;0.05848295221941857;-1.867862098409645;1.7962151181439179;-1.2387686745706894;0.6991140996904788;-0.9480715363068271;0.2861815208503593
12;BenchmarkDeduplicateSamples/minScrapeInterval=2s-2;61;-0.12877546242098248;-0.967027845741586;0.2981235751446709;-0.7398345566818176;0.1405152224824402;-0.6076896108449192;0.08811090225564477
13;BenchmarkDeduplicateSamples/minScrapeInterval=2s-2;66;-0.6431054461181973;-1.7407213800313626;2.1183728103358;-1.4629109058573841;1.5722719036764365;-1.3847045191193508;1.235580019909821
