;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkFromFloat/1.2345678901e+14-2;1;-0.06635700066356387;-0.3970880211780159;0.39814200398142763;-0.33090668431501324;0.3315649867374093;-0.2652519893899252;0.2652519893899141
11;BenchmarkFromFloat/1.2345678901e+14-2;6;2.587923025879224;1.9467878001298011;2.9920212765957466;2.3544800523217946;2.92553191489362;2.411994784876148;2.859042553191493
1;BenchmarkFromFloat/1.2345678901e+14-2;11;2.8533510285335018;1.6949152542372836;3.7135278514588865;2.0925808497146647;3.3842070338420793;2.15736040609138;3.2493368700265313
2;BenchmarkFromFloat/1.2345678901e+14-2;16;2.594810379241519;2.2486772486772555;2.796271637816239;2.330226364846877;2.727877578176985;2.3952095808383422;2.727877578176985
3;BenchmarkFromFloat/1.2345678901e+14-2;21;2.5930851063829863;2.3209549071617985;2.7925531914893664;2.4568393094289487;2.727877578176985;2.5232403718459473;2.7260638297872397
4;BenchmarkFromFloat/1.2345678901e+14-2;26;2.535023348899257;2.0611702127659504;2.786994027869949;2.194148936170204;2.6720106880427474;2.2606382978723527;2.6702269692923997
5;BenchmarkFromFloat/1.2345678901e+14-2;31;2.392026578073092;2.119205298013238;2.8000000000000025;2.1883289124668526;2.7296937416777745;2.1912350597609542;2.6684456304202797
6;BenchmarkFromFloat/1.2345678901e+14-2;36;2.594810379241519;2.141982864137093;2.794411177644718;2.3970497848801564;2.727877578176985;2.460106382978733;2.7260638297872397
7;BenchmarkFromFloat/1.2345678901e+14-2;41;2.392026578073092;1.916721744877714;2.659574468085113;2.119205298013238;2.594810379241519;2.2561380225613714;2.591362126245844
8;BenchmarkFromFloat/1.2345678901e+14-2;46;2.7134348113831974;2.3733162283515075;3.108465608465605;2.4983563445101886;2.982107355864816;2.5148908007941895;2.976190476190488
9;BenchmarkFromFloat/1.2345678901e+14-2;51;2.663115845539288;1.9141914191419085;2.866666666666662;2.314814814814814;2.7981345769487076;2.400000000000002;2.794411177644718
10;BenchmarkFromFloat/1.2345678901e+14-2;56;2.6000000000000023;-0.059808612440181985;3.5333333333333217;0.9667673716012182;3.2579787234042534;1.4449127031908704;2.8000000000000025
12;BenchmarkFromFloat/1.2345678901e+14-2;61;2.6000000000000023;2.401601067378256;2.868579052701792;2.461743180306053;2.8018679119413026;2.4683122081387454;2.7981345769487076
13;BenchmarkFromFloat/1.2345678901e+14-2;66;2.5590551181102317;-0.18820577164365693;4.636973764490526;1.2305699481865329;4.379562043795615;1.6191709844559643;3.721781574130567
