;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkFromFloat/12343.4344-2;1;-0.17415534656913811;-0.45154567558179926;0.41753653444676075;-0.3827418232428603;0.2781641168289273;-0.34806822137138926;0.17397355601949105
11;BenchmarkFromFloat/12343.4344-2;6;-0.8707767328457017;-1.8448923812777518;-0.1737921445950641;-1.5336354130359053;-0.4895104895104918;-1.3826477704804607;-0.5923344947735165
1;BenchmarkFromFloat/12343.4344-2;11;-0.7644197359277349;-2.255378209576675;0.5906879777623386;-1.855670103092788;0.2090592334494934;-1.709699930216324;-0.034530386740339036
2;BenchmarkFromFloat/12343.4344-2;16;-1.2923506811037266;-1.7043478260869493;-0.6322444678609096;-1.5684907633321865;-0.8391608391608463;-1.4998256016742317;-0.9100455022751142
3;BenchmarkFromFloat/12343.4344-2;21;-0.9078212290502874;-1.4998256016742317;-0.41943376441804237;-1.3612565445026092;-0.5250262513125659;-1.2932541069556103;-0.5935754189944187
4;BenchmarkFromFloat/12343.4344-2;26;-1.1904761904761862;-1.712089447938514;-0.8403361344537785;-1.6433566433566527;-0.9106830122591947;-1.6083916083916128;-1.0171869519466914
5;BenchmarkFromFloat/12343.4344-2;31;-1.2207882804325165;-1.8454038997214428;-0.6975933031043047;-1.6742239274503024;-0.8376963350785305;-1.6055846422338482;-0.9097270818754333
6;BenchmarkFromFloat/12343.4344-2;36;-1.4649459365190132;-1.8099547511312153;-0.5954465849387081;-1.7415534656913922;-0.8053221288515378;-1.7067223963775802;-0.8726003490401424
7;BenchmarkFromFloat/12343.4344-2;41;-1.6039051603905174;-2.0493226814866317;-0.9068712940355828;-1.9812304483837306;-1.0115102895012273;-1.914375217542641;-1.1149825783972167
8;BenchmarkFromFloat/12343.4344-2;46;-1.2169680111265735;-1.756803306923882;-0.5555555555555536;-1.5251299826689824;-0.7317073170731714;-1.4904679376083196;-0.8333333333333415
9;BenchmarkFromFloat/12343.4344-2;51;-1.1546536039188204;-2.375215146299492;-0.3511235955056202;-1.9965576592082646;-0.5252100840336116;-1.6044645971398652;-0.5958640028040696
10;BenchmarkFromFloat/12343.4344-2;56;-0.6304728546409843;-2.940236497283466;-0.44585987261145377;-2.6914450496635656;-0.5244755244755317;-2.527999999999997;-0.5606166783461819
12;BenchmarkFromFloat/12343.4344-2;61;-1.155057752887656;-1.7138859741168133;-0.5270555165144186;-1.6427822439706308;-0.7363253856942475;-1.5739769150052485;-0.8058864751226413
13;BenchmarkFromFloat/12343.4344-2;66;-1.7931034482758568;-2.8463648834019306;1.672563525249271;-2.503429355281206;1.4080000000000092;-2.335967021642049;1.0292698616918727
