;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkInmemoryPartInitFromRowsWorstCase-2;1;0.683121971179812;-1.1984488876019106;2.029840779309189;-0.6899400172566184;1.6865817711624764;-0.47043049330318665;1.4436187309551984
11;BenchmarkInmemoryPartInitFromRowsWorstCase-2;6;-0.674993086642961;-2.1372180230542326;0.7218733569013258;-1.6627029189877796;0.37054233675819503;-1.5219621117929627;0.23182638733603156
1;BenchmarkInmemoryPartInitFromRowsWorstCase-2;11;0.672252042618604;-1.581607417365627;3.73815796698711;-1.239974156948176;2.94036248480809;-0.8776460530863339;2.613680778983718
2;BenchmarkInmemoryPartInitFromRowsWorstCase-2;16;-0.40029518488990945;-1.8044439923437627;2.2105422594012936;-1.568610535076187;1.3300981981895665;-1.3722898026508945;0.886103033030472
3;BenchmarkInmemoryPartInitFromRowsWorstCase-2;21;-0.180770248433626;-2.2147150571077523;0.7824078900354081;-1.5424835972565498;0.5282702182843435;-1.1894285696799733;0.44557350756992964
4;BenchmarkInmemoryPartInitFromRowsWorstCase-2;26;-0.16756515965934415;-2.101165447879938;1.0418845226833673;-1.4553666176387647;0.8585051137767641;-1.202307633555988;0.6228810030285414
5;BenchmarkInmemoryPartInitFromRowsWorstCase-2;31;-0.014487010929598032;-1.8617473080575486;1.6287180973995063;-1.6062335763245117;1.3868431918910185;-1.4186116136511884;1.1454718505694572
6;BenchmarkInmemoryPartInitFromRowsWorstCase-2;36;-0.8018518899587157;-3.822737759548833;0.9110448426032702;-2.1925013021401707;0.4492890872014099;-1.9877864590897243;0.24264369534006125
7;BenchmarkInmemoryPartInitFromRowsWorstCase-2;41;0.02408921913616968;-0.8809763436898432;1.2457059282214855;-0.6389503621322956;0.943884990371191;-0.5220052219999216;0.7994364495445216
8;BenchmarkInmemoryPartInitFromRowsWorstCase-2;46;-1.2612824902140995;-1.9858240486005152;0.11046051047605143;-1.7937668712325605;-0.33371093877992974;-1.7032568741620513;-0.49253558485873317
9;BenchmarkInmemoryPartInitFromRowsWorstCase-2;51;-1.0637052040425088;-2.174050635118463;0.3239851572843122;-1.9116824872078442;0.11584942360498562;-1.7282930506104854;-0.03677391761691684
10;BenchmarkInmemoryPartInitFromRowsWorstCase-2;56;-0.3591753875516135;-3.0516017042764743;0.8263088155038956;-2.1719847685407245;0.4912183904981937;-1.6602042757514646;0.30038187376280057
12;BenchmarkInmemoryPartInitFromRowsWorstCase-2;61;0.5626816997547524;-0.3658796849759782;2.020582894468159;0.044692428388382055;1.7476264155517063;0.1290070151993783;1.6173772094412175
13;BenchmarkInmemoryPartInitFromRowsWorstCase-2;66;1.177472064241858;-2.421819107962231;4.788457683419067;-1.0757842851825905;3.393775622804296;-0.8955779283186027;3.013187627708036
