;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkIntersectPartialOverlap/items_1000-2;1;0.03264240248082029;-4.39040313367064;2.945026178010468;-4.044841690652934;2.4433946896888825;-3.8650507697346903;2.0768601798855313
11;BenchmarkIntersectPartialOverlap/items_1000-2;6;-0.3366463610131487;-3.6817472698908005;4.306930693069311;-3.244005641748937;2.547876769358859;-2.961918194640334;2.201622247972179
1;BenchmarkIntersectPartialOverlap/items_1000-2;11;-0.20585906571655155;-5.33130236100533;4.3338683788122;-4.519600307455807;2.9295328582739533;-3.8818434890194875;2.6800394607037203
2;BenchmarkIntersectPartialOverlap/items_1000-2;16;2.263340492317867;-3.627603797647727;5.815298199240049;-2.438226149566358;5.316285329744286;-1.9030627415997592;4.55921938088828
3;BenchmarkIntersectPartialOverlap/items_1000-2;21;0.44146500981032677;-4.1972550271305415;1.8579414666228145;-2.7719241368130976;1.524090462143568;-1.9938401685848595;1.4093739757456536
4;BenchmarkIntersectPartialOverlap/items_1000-2;26;0.8775008775008697;-3.2312070986104113;2.723598664558069;-1.9150973507820024;2.1175224986765384;-1.4978723404255323;1.8838028169014143
5;BenchmarkIntersectPartialOverlap/items_1000-2;31;1.9971469329529201;-1.3850415512465353;5.307172724348663;-0.4814412175803695;4.1839007317849175;-0.15573628655476401;4.002541296060991
6;BenchmarkIntersectPartialOverlap/items_1000-2;36;-1.4392059553349879;-3.837398373983736;2.496328928046987;-2.4715447154471493;0.8913832948167721;-2.3438780527782366;0.5196111297351758
7;BenchmarkIntersectPartialOverlap/items_1000-2;41;0.26805159993299466;-1.6708023159636043;6.320504313205033;-1.1803823773898547;4.4790975447909664;-0.9642560266001632;3.466403811401353
8;BenchmarkIntersectPartialOverlap/items_1000-2;46;-1.0615048392132342;-3.266957062850029;1.7620458443786013;-2.7039555006180493;1.1516011989272767;-2.5058365758754864;0.7887679444707363
9;BenchmarkIntersectPartialOverlap/items_1000-2;51;0.7943214466790582;-4.069855732725891;3.344307745624686;-3.0093658836173764;2.578648788035065;-2.2127917550772924;2.325177858754124
10;BenchmarkIntersectPartialOverlap/items_1000-2;56;-1.1469768966082206;-5.964182922929329;6.458586677476008;-4.829681752758674;5.728955546547754;-4.445865984327524;5.21551141737604
12;BenchmarkIntersectPartialOverlap/items_1000-2;61;2.1753908905506547;-7.092936802973981;11.163770405476559;-2.829601990049746;8.73969780219781;-1.6920211114560657;7.280219780219777
13;BenchmarkIntersectPartialOverlap/items_1000-2;66;0.6584992343032114;-6.35441527446301;8.19853449467718;-4.682724049394793;6.166182773399687;-3.0918727915194344;5.258290395032361
