;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkMapAddNoAllocs/items_10000-2;1;-0.12454592631032657;-2.356288552773589;1.385780392859015;-1.6487077566527786;0.543104455143606;-1.499608894848592;0.29876560066839364
11;BenchmarkMapAddNoAllocs/items_10000-2;6;-0.07974661157290619;-1.6052832105664216;1.3592295448333624;-1.3408051816103606;0.9319264652277504;-1.029378998631314;0.7450937552211157
1;BenchmarkMapAddNoAllocs/items_10000-2;11;-0.2558772820289712;-0.9700133739385497;1.889306116530376;-0.7721511255983193;1.0439484899867013;-0.6464978161457746;1.0207292669141443
2;BenchmarkMapAddNoAllocs/items_10000-2;16;0.1520220886795487;-1.0530634151457274;2.300471624368128;-0.7522214819012274;0.9582996057132309;-0.5824044432444997;0.7648908193328641
3;BenchmarkMapAddNoAllocs/items_10000-2;21;0.03159413586781845;-0.30446088698956597;0.8926769895664544;-0.19056538734203432;0.7378573844272651;-0.14088035581236724;0.6467764127603637
4;BenchmarkMapAddNoAllocs/items_10000-2;26;0.15161957270848347;-0.539537617287067;1.3806410775602407;-0.434978712353673;1.149910328093684;-0.27256624129813334;0.8630282900401243
5;BenchmarkMapAddNoAllocs/items_10000-2;31;-0.16401588843022452;-0.7931419956122676;0.7624164725485771;-0.6594894275399721;0.4595690653628193;-0.5542908366276911;0.34576647724577914
6;BenchmarkMapAddNoAllocs/items_10000-2;36;-0.12094388530596856;-2.1299964355161682;0.6110823069824578;-0.5528067327687958;0.3365420956975784;-0.43779357251281237;0.2238514910869016
7;BenchmarkMapAddNoAllocs/items_10000-2;41;0.22963353632370342;-0.6400234512409564;0.8303401578825031;-0.40590201714097995;0.6324793057497446;-0.3167333098959446;0.5568759944214241
8;BenchmarkMapAddNoAllocs/items_10000-2;46;0.33373109423051606;-0.2944773429454206;1.1198852327655384;-0.1319082511997527;0.8681077967922501;-0.029728149002650195;0.8133078507652769
9;BenchmarkMapAddNoAllocs/items_10000-2;51;-0.17538463552062566;-1.9217381559599733;0.40303757519970507;-1.7648477109955762;0.25444623426147395;-0.9731229590267509;0.15857121751834402
10;BenchmarkMapAddNoAllocs/items_10000-2;56;0.36024400877172624;-1.564135479411477;0.7502581463133984;-1.394931718491943;0.5773981465748257;-0.9457860341208435;0.508830674282712
12;BenchmarkMapAddNoAllocs/items_10000-2;61;-0.2070642299882408;-2.207449864048916;0.46855162128938144;-1.964237029909388;0.24040379857952487;-1.8601095273434454;0.16186223877423522
13;BenchmarkMapAddNoAllocs/items_10000-2;66;0.3620550750803142;-3.102264486396711;8.545862295249073;-1.3831399245848863;8.22231942416427;-0.825581733237335;7.3925293160342465
