;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkMapAddRandomLastBits/lastBits_24-2;1;0.5746394180917935;-2.1138300518598996;2.4928769154409114;-1.2776750418381333;2.067622088755683;-1.093151681472282;1.8142796513533455
11;BenchmarkMapAddRandomLastBits/lastBits_24-2;6;0.11628200389783849;-1.8416985406409125;1.8126380044462875;-1.4239652204880437;1.44317751884111;-1.2968741289700936;1.1026358178575224
1;BenchmarkMapAddRandomLastBits/lastBits_24-2;11;-0.22135666845818358;-2.41021489442792;2.5099029030006603;-1.5217612791781465;1.8870950739376058;-1.3193245664063769;1.7123304120176819
2;BenchmarkMapAddRandomLastBits/lastBits_24-2;16;0.662948422155063;-3.08938059883459;2.749786225910178;-2.249570409712509;2.4119642166124056;-1.6996586731886976;2.0285494205153576
3;BenchmarkMapAddRandomLastBits/lastBits_24-2;21;-0.3635250896025233;-2.2700384018787156;2.053199670336059;-2.0071955171270583;1.5428490281865326;-1.5767710070120566;1.3480585980699678
4;BenchmarkMapAddRandomLastBits/lastBits_24-2;26;0.045851368204830045;-1.7804921396603834;2.372176465295661;-1.359042466695659;1.8206355610984826;-1.0671185725578125;1.4389503826248706
5;BenchmarkMapAddRandomLastBits/lastBits_24-2;31;0.6022386788085532;-1.973653978251666;2.2454494619723597;-1.4192933818172326;1.9276603354760224;-1.1208666865995531;1.6282076006581825
6;BenchmarkMapAddRandomLastBits/lastBits_24-2;36;0.5872154901814364;-2.285876400719611;2.7472772325347394;-1.6135898204619914;2.159793174705471;-1.3824589517001717;1.8129959541319352
7;BenchmarkMapAddRandomLastBits/lastBits_24-2;41;-0.0032531590282713907;-1.5048418949034081;1.3829739889721804;-1.1418445318473136;1.040407216661765;-0.9778031909877583;0.8292206221984344
8;BenchmarkMapAddRandomLastBits/lastBits_24-2;46;0.23089276443348794;-1.682186302833033;2.2858308240459646;-1.1740290069519932;1.8231758836578127;-0.9326666085232138;1.506097248728988
9;BenchmarkMapAddRandomLastBits/lastBits_24-2;51;-0.6515762232494615;-2.23821970275746;2.8779153442419325;-1.7601064355120433;2.1128625890410424;-1.5155899849336296;1.9089197592671248
10;BenchmarkMapAddRandomLastBits/lastBits_24-2;56;-0.009891173259990449;-1.8645517846507698;4.299581810022257;-1.3385930340311325;3.7272360872510735;-1.0919347714599903;1.7051848600687203
12;BenchmarkMapAddRandomLastBits/lastBits_24-2;61;-0.4347042038378768;-2.4688347336460748;1.02159771773771;-1.9386655511847373;0.5566290473946633;-1.682890988154151;0.4415137144248016
13;BenchmarkMapAddRandomLastBits/lastBits_24-2;66;0.8091835585484874;-4.285630470813906;5.585623971314102;-2.7504215218336237;4.295782088950562;-1.8533973003995174;3.592031334075818
