;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkMapAddReuse/items_10000-2;1;-0.15275779732154549;-0.8792099638882722;0.6509812940246995;-0.6409245740308211;0.5155920220480503;-0.5010926911105718;0.41669442162370895
11;BenchmarkMapAddReuse/items_10000-2;6;0.17765860000591438;-0.9616437756018503;1.2898084472122928;-0.7112229815755211;0.7342672926075489;-0.5731881845239206;0.6234274739835399
1;BenchmarkMapAddReuse/items_10000-2;11;0.619262902548745;-1.0273273221301116;1.788690414445071;-0.7318300959919477;1.3902788202262872;-0.5357871641301637;1.1755791068966515
2;BenchmarkMapAddReuse/items_10000-2;16;0.30736365639507657;-0.21279981643702595;0.6530446610405027;-0.11161541998546687;0.5142645867023177;-0.07289451337275654;0.4807295689933211
3;BenchmarkMapAddReuse/items_10000-2;21;0.13349691055333235;-0.10749488562394882;0.5784203013599498;-0.025294513694373855;0.4965110037573828;-0.006719025293400183;0.45461331740819233
4;BenchmarkMapAddReuse/items_10000-2;26;0.3622289858340011;-0.46847593602675763;1.2096728650007993;-0.07968365961235069;1.0739240983143494;-0.03234357050712067;0.9154720414462636
5;BenchmarkMapAddReuse/items_10000-2;31;-0.2820575709603368;-1.364470109944238;0.6312307311474585;-1.2011768734787376;0.38488807859820007;-1.0678426701966393;0.30821866754124905
6;BenchmarkMapAddReuse/items_10000-2;36;0.1297718178868923;-10.513541729005826;0.616652970690601;-9.863107049085041;0.3698815036876191;-2.5132079684519137;0.3242554238241935
7;BenchmarkMapAddReuse/items_10000-2;41;-0.03207662583735171;-0.25529218843172163;0.332082117564525;-0.18166625633220246;0.23556642338491418;-0.15281629245310624;0.1857418859142035
8;BenchmarkMapAddReuse/items_10000-2;46;0.036218092045703365;-0.46857589822678625;0.5436409530532149;-0.3887459344115829;0.3719882475426095;-0.3203740903928498;0.29861447319305956
9;BenchmarkMapAddReuse/items_10000-2;51;0.24239210003436096;-0.13312311284973122;0.661526444239291;-0.04855311711011723;0.5428023435275708;0.009294716882912724;0.5195602454061143
10;BenchmarkMapAddReuse/items_10000-2;56;0.13553382355142585;-0.36161646286907434;1.9894422358586628;-0.2869039002514562;1.9637166897053193;-0.17882676204094006;1.2075346365534312
12;BenchmarkMapAddReuse/items_10000-2;61;0.09659339795355937;-0.3057049946801338;0.4487605571390496;-0.20126670831664972;0.3438859107919523;-0.15559079620597327;0.30674157303369753
13;BenchmarkMapAddReuse/items_10000-2;66;0.3285915088716118;-3.9184642786463497;1.7722868614417742;-2.699973235792663;1.3607940045751388;-2.328486038005173;1.0436625281958767
