;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkMapAddWithAllocs/items_1000000-2;1;-0.4587069663557153;-30.254364441161606;5.835765277899063;-27.73483880222657;3.0007267602760956;-6.659604232956562;1.8573708192086258
11;BenchmarkMapAddWithAllocs/items_1000000-2;6;0.8750665012464687;-6.4414940920484165;4.19411104088101;-5.85597745093176;2.746230450220044;-5.125068414583522;2.0829102637732966
1;BenchmarkMapAddWithAllocs/items_1000000-2;11;1.81341005605411;-1.2231894370721696;5.2684060808124045;-0.5994628040100425;4.043768989616492;-0.4699586102701825;3.3621048978112134
2;BenchmarkMapAddWithAllocs/items_1000000-2;16;0.5284827061183606;-5.924671680946836;7.365135910422871;-4.679676006314393;5.522576339345964;-3.8046258595889726;3.9615450658156526
3;BenchmarkMapAddWithAllocs/items_1000000-2;21;-0.3728062608891358;-2.5886928660966757;2.2942995983792347;-2.200214802192002;1.4550082388415264;-1.9802866087761273;1.174054341705899
4;BenchmarkMapAddWithAllocs/items_1000000-2;26;0.06978033584705834;-4.1100582011553755;3.378039234494734;-2.3418557646355365;2.3687814743550417;-1.9898598096534048;2.021023623895579
5;BenchmarkMapAddWithAllocs/items_1000000-2;31;0.3910888422740566;-4.778622499624252;7.824198186204501;-1.8688148157392281;5.7132081478797225;-1.2906022413816776;4.697251654855927
6;BenchmarkMapAddWithAllocs/items_1000000-2;36;-0.5519477559767116;-6.245038983940743;6.36788700997164;-5.035351249747233;4.956131983201439;-4.024815637114109;4.216458916747645
7;BenchmarkMapAddWithAllocs/items_1000000-2;41;-5.796648191920461;-10.62053953865899;7.564287163024597;-9.754779878226728;4.223259555571501;-9.146521480818247;2.8094255115276523
8;BenchmarkMapAddWithAllocs/items_1000000-2;46;-0.8779799033438285;-2.106702896439283;3.4492100079008825;-1.5063813078749488;2.8768264194354742;-1.3192972255275381;2.478361268613538
9;BenchmarkMapAddWithAllocs/items_1000000-2;51;0.8590187683992445;-7.458566432924741;5.073381285350131;-6.354465966729683;4.1871910486007025;-6.062669289585044;3.920947893935822
10;BenchmarkMapAddWithAllocs/items_1000000-2;56;-1.1125479553780848;-5.517880911968209;5.877346057675714;-3.9500998877525895;4.528161996826241;-3.452047312497708;3.6297844576251848
12;BenchmarkMapAddWithAllocs/items_1000000-2;61;-0.9489211633810557;-3.0207060420654797;5.425972480985708;-2.4022953190209084;3.543454293740078;-2.1874581018916595;2.109933238027195
13;BenchmarkMapAddWithAllocs/items_1000000-2;66;0.8612668979206761;-3.5055710888778235;4.0336201243865055;-2.6531233725116787;3.5884810807039758;-2.1522783291214487;3.0599392787405977
