;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkMapHasHit/items_1000000-2;1;2.963968236066594;-4.668372946230259;35.50354527639292;-3.554682933988851;23.54825664956943;-2.9088008696571577;6.570843283998262
11;BenchmarkMapHasHit/items_1000000-2;6;0.08600098642912446;-3.7347464219801285;4.125644581534393;-2.6878855385017553;3.441231285882518;-2.3461084088171824;2.9248490738610133
1;BenchmarkMapHasHit/items_1000000-2;11;0.8486660257749579;-3.3187039174979227;7.618764560096225;-2.293005597282749;6.4541315248555;-1.6919754135750975;5.754674619607725
2;BenchmarkMapHasHit/items_1000000-2;16;1.2657062671107555;-9.812101443316978;39.36582132117694;-1.8883519173901075;31.58671406931457;-1.4831245533019288;27.032067103624378
3;BenchmarkMapHasHit/items_1000000-2;21;0.298766864409461;-3.344771795781787;3.261802324894081;-2.2175849807760106;2.681973884387201;-1.747677537794723;2.3732546759962725
4;BenchmarkMapHasHit/items_1000000-2;26;-0.6876722531439228;-13.5704716931627;7.731140767553102;-9.899048265870325;4.909863474948373;-8.432978242541477;4.552855861456528
5;BenchmarkMapHasHit/items_1000000-2;31;1.3528779736508678;-16.252926116850407;6.258576280728989;-14.711057303296437;5.138853281820177;-7.189322907136331;4.713036031409712
6;BenchmarkMapHasHit/items_1000000-2;36;0.21652524006785523;-6.331376432031332;4.814996634937141;-5.000865653628306;3.8316020410609886;-4.650350837082751;3.2085784973105547
7;BenchmarkMapHasHit/items_1000000-2;41;-0.5443761960909121;-4.845775871585511;5.579358080074792;-3.55847377185855;4.62882818139323;-3.242284907917692;3.685816061205105
8;BenchmarkMapHasHit/items_1000000-2;46;-0.5202500121376685;-2.922646561706854;2.867073632179329;-2.4219853169581085;2.119211772897067;-2.1406788419047085;1.7158241995017143
9;BenchmarkMapHasHit/items_1000000-2;51;-4.434346537220291;-26.429384519081566;40.14339528861195;-22.017409749149497;32.346949140120444;-7.0417104649543205;11.38989141552804
10;BenchmarkMapHasHit/items_1000000-2;56;2.690876979298351;-1.742290593419149;7.209502596758655;-0.5956836250618491;5.907533925596753;0.6531466014648268;5.298339659678142
12;BenchmarkMapHasHit/items_1000000-2;61;-0.7180951985675144;-22.19818099247486;5.062220314113186;-19.95680573343892;3.5600611308815644;-14.734933700392471;3.005047432814534
13;BenchmarkMapHasHit/items_1000000-2;66;3.0143721079537222;-3.353970956847052;11.978151827094319;-2.312358400712544;8.23666310278719;-1.5594092167580786;6.9782027809130565
