;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkMapHasMiss/items_10000-2;1;-0.7625385601885526;-2.5786896444829677;2.112171697603693;-2.3026788021476396;1.2715416860735962;-2.1923454479698234;0.876103792599614
11;BenchmarkMapHasMiss/items_10000-2;6;-0.3047343061832297;-1.8303106347954734;2.114016976370725;-1.4141739716014068;1.0849350846202643;-1.2335479132959293;0.558678464179696
1;BenchmarkMapHasMiss/items_10000-2;11;0.3591775354984339;-1.8658723502703922;2.961871648299841;-1.6928256699155764;2.447895140815959;-1.523902021656054;2.233613197820006
2;BenchmarkMapHasMiss/items_10000-2;16;1.2033552375446899;-0.9502962075016108;2.6097131443024724;-0.23286583752315515;2.3207826860361713;0.0597424048075057;2.2105823863636465
3;BenchmarkMapHasMiss/items_10000-2;21;0.3745318352059934;-2.1636556609215263;2.8064075499813823;-0.9876253592164708;2.5963608481524014;-0.6984927570230504;2.3414685945879032
4;BenchmarkMapHasMiss/items_10000-2;26;1.0151806562795906;-1.2777580413145695;2.3363600847648325;-0.6746521049850296;2.111425493376262;-0.36573931173452534;1.9225883451205572
5;BenchmarkMapHasMiss/items_10000-2;31;-0.8979211553019284;-2.294196250383229;1.3458259335524358;-1.9536358691249145;0.958381400301711;-1.7736652662523333;0.8069294025641716
6;BenchmarkMapHasMiss/items_10000-2;36;0.3285154917032518;-1.5546949860803183;2.818819214530044;-1.203525340515843;2.3070955617228606;-0.9330437680260095;2.0807559530121367
7;BenchmarkMapHasMiss/items_10000-2;41;0.6911995486043709;-1.979843690474814;2.2108172127911496;-1.2674713365427137;1.9002893153655442;-1.0077105122528462;1.6639922883861402
8;BenchmarkMapHasMiss/items_10000-2;46;-0.3389375678166773;-1.8845653350530345;1.3489561092034474;-1.7489036980767203;0.7953495444284586;-1.6602552289689432;0.48799827422354447
9;BenchmarkMapHasMiss/items_10000-2;51;-0.4922024160540883;-2.617535820577621;1.7068922910365991;-2.290359400439179;1.1899981101767043;-1.9872998215485826;0.9409145501948046
10;BenchmarkMapHasMiss/items_10000-2;56;-0.9193036519179465;-3.1307255404910195;0.7205328699681379;-2.852464272627331;0.31789204294412343;-2.6663299798561857;0.11399226234340976
12;BenchmarkMapHasMiss/items_10000-2;61;-0.366625342976834;-3.7041453719477535;1.6714031971580834;-2.471329813543144;1.2087516452125024;-2.1416614414652813;0.9756240995030696
13;BenchmarkMapHasMiss/items_10000-2;66;1.823871101583574;-2.6721279500682704;5.88611055160706;-1.9094270656239365;5.571150939321967;-1.4522118998972822;4.740430527492134
