;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkMarshalConstArray-2;1;0.06387735547748186;-0.4123057405645447;0.3523382447149226;-0.255264837268665;0.2564102564102555;-0.19157088122605526;0.2242870874719749
11;BenchmarkMarshalConstArray-2;6;-0.06371455877668408;-0.6293266205160464;0.5431309904153414;-0.5403687221869014;0.2877237851662384;-0.5047318611987373;0.22364217252395235
1;BenchmarkMarshalConstArray-2;11;0.03190810465858451;-2.455704072116882;1.097560975609757;-1.2876884422110546;0.7323771742447471;-1.1620603015075393;0.6402439024390194
2;BenchmarkMarshalConstArray-2;16;0.16046213093710016;-0.38289725590300305;0.578220366206228;-0.19102196752626144;0.48138639281130047;-0.12742911755335706;0.38510911424902705
3;BenchmarkMarshalConstArray-2;21;0.06410256410256387;-0.3494282083862821;0.2885540237255624;-0.191693290734829;0.1922460749759658;-0.12791813239526606;0.1603077909586359
4;BenchmarkMarshalConstArray-2;26;0.09652509652509078;-0.4796929964822505;0.5148005148005064;-0.41600000000000525;0.4182754182754156;-0.32030749519538215;0.28957528957529455
5;BenchmarkMarshalConstArray-2;31;0.03201024327785795;-0.5438259756877839;0.32164683177871023;-0.4162664105027192;0.19236934915036752;-0.35076530612244694;0.1602564102564097
6;BenchmarkMarshalConstArray-2;36;-0.032041012495998;-2.2791133312519474;0.22414345180916673;-0.4708652148322501;0.12845215157353262;-0.2355712603062443;0.09630818619583703
7;BenchmarkMarshalConstArray-2;41;-0.06406149903908087;-0.22414345180915562;0.19267822736031004;-0.19212295869356355;0.1603077909586359;-0.16015374759769108;0.12824623276690428
8;BenchmarkMarshalConstArray-2;46;-0.06371455877668408;-0.412698412698409;0.4452926208651453;-0.3182686187141903;0.28662420382166154;-0.28607755880483143;0.25396825396826195
9;BenchmarkMarshalConstArray-2;51;0.09627727856225121;-0.289110183103114;0.5441741357234298;-0.22414345180915562;0.4490057729313657;-0.09627727856226231;0.3841229193341844
10;BenchmarkMarshalConstArray-2;56;0.1284109149277679;-3.265895953757225;7.455999999999996;-2.1424435437174316;2.3360000000000047;-1.273148148148151;2.303262955854124
12;BenchmarkMarshalConstArray-2;61;0.06424670735625249;-0.2568218298555358;0.3212335367812402;-0.19230769230769162;0.22479126525369875;-0.16051364365970988;0.19230769230769162
13;BenchmarkMarshalConstArray-2;66;0.15862944162436943;-1.243339253996445;7.445116131084961;-0.8522727272727293;5.8375634517766395;-0.5681818181818232;4.6452433980273655
