;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkMarshalInt64Array-2;1;0.09488817195604238;-1.1108571852108118;1.3339754691759298;-0.6058341398870404;0.9550871961546914;-0.48796037467510045;0.8308476261496445
11;BenchmarkMarshalInt64Array-2;6;-0.19553184972510573;-1.2557325923724716;1.4406639418738543;-0.9350778198052967;1.0431533490551592;-0.7897723253689759;0.9665198758130655
1;BenchmarkMarshalInt64Array-2;11;-0.9176170191871003;-3.789086596199287;4.728681461703288;-2.607764911939281;1.834417130236865;-2.1494711013178236;1.2026045762990822
2;BenchmarkMarshalInt64Array-2;16;-0.04284758145731704;-2.285778253792481;1.154236828325006;-1.4270724680872204;0.8350236005535194;-1.182299601906911;0.7521712403259606
3;BenchmarkMarshalInt64Array-2;21;-0.2889522665866062;-1.0071106610212155;1.0476540777776489;-0.814131100927995;0.68266536575603;-0.6659018355945734;0.5713626672319005
4;BenchmarkMarshalInt64Array-2;26;0.4279149732316023;-1.1762241391708894;1.2450414855788239;-0.66322496628064;1.0151531875305597;-0.4746211703117398;0.9237780404401708
5;BenchmarkMarshalInt64Array-2;31;-0.10354395612989231;-1.077912372914347;0.9243878862956079;-0.870832722085757;0.5519996225643586;-0.7527693153339454;0.4465222963466742
6;BenchmarkMarshalInt64Array-2;36;-0.04555410642188562;-2.1651631659632686;2.0637600122315414;-1.0047319835544188;1.5864531506866397;-0.792180591110081;1.3524323318760967
7;BenchmarkMarshalInt64Array-2;41;0.9576373062185395;0.2541529845044632;1.5218807552086488;0.46091877517475677;1.3108666910461642;0.5632065518547558;1.2106408796927592
8;BenchmarkMarshalInt64Array-2;46;1.2327999501899;0.34399128885369556;2.2600334056602334;0.5091523234731721;1.9687441628790214;0.6178279515171026;1.7908849870559074
9;BenchmarkMarshalInt64Array-2;51;0.5727700414591252;-0.2215706055948896;1.531082532881567;-0.049581210280458254;1.3016444330181676;0.08118226354885127;1.1135977310208878
10;BenchmarkMarshalInt64Array-2;56;1.0465855928406098;-0.9598336165696275;5.018168695089464;-0.7127512945003911;3.3329022059351843;-0.5101674211396179;2.953529565439572
12;BenchmarkMarshalInt64Array-2;61;-0.46099469195743925;-1.4239151234906822;0.43077599334369054;-1.1880204271590644;0.21957280820410485;-1.0675188473047825;0.09873965434832321
13;BenchmarkMarshalInt64Array-2;66;-0.9201038097188641;-3.8254367070058026;2.5751687400642487;-2.442744992271262;1.5308793529868359;-2.1376556260277235;1.214353197455753
