;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkMarshalInt64NearestDelta/precisionBits_4-2;1;0.0335804510112947;-0.29336455692945407;0.4406885109912828;-0.2137605109648888;0.33202770356151046;-0.17805992103429036;0.29442664626000425
11;BenchmarkMarshalInt64NearestDelta/precisionBits_4-2;6;0.08127773764061708;-1.0903682041068397;0.3402328589909409;-0.8541608753885432;0.2650016804984556;-0.688644318368481;0.2016989255653412
1;BenchmarkMarshalInt64NearestDelta/precisionBits_4-2;11;-0.016774842897149256;-0.8172774675492822;0.9788819875776289;-0.6875100287593972;0.5838509316770102;-0.4998974569319081;0.3146641218420676
2;BenchmarkMarshalInt64NearestDelta/precisionBits_4-2;16;-0.038880752731373924;-0.4273173250710083;0.5731990704879841;-0.3491213778657021;0.31550228221937093;-0.310330113658408;0.22910841876360166
3;BenchmarkMarshalInt64NearestDelta/precisionBits_4-2;21;0.02981437312039592;-0.14357780364765427;0.16591486493493512;-0.08815255577593328;0.12185794474908196;-0.06611441683195274;0.11406351263771874
4;BenchmarkMarshalInt64NearestDelta/precisionBits_4-2;26;0.024710946949491053;-0.1648622686086676;0.6865167078403234;-0.11426345517107084;0.4384490028195298;-0.05068489590102088;0.32689872599942493
5;BenchmarkMarshalInt64NearestDelta/precisionBits_4-2;31;0.10497395090847128;-0.22063022374499974;0.38864634478112947;-0.14256460768812262;0.32905390524802236;-0.12185320577635661;0.30314414892926855
6;BenchmarkMarshalInt64NearestDelta/precisionBits_4-2;36;-0.018145291944782205;-0.7554575071184844;0.2903188345956931;-0.4258933591740566;0.14236349282359395;-0.21472829109911995;0.09333558030100164
7;BenchmarkMarshalInt64NearestDelta/precisionBits_4-2;41;-0.0038868159203953034;-0.27785675515004105;0.20388286474903872;-0.2237917830901326;0.16618628443820782;-0.19791990065196607;0.14674371794038965
8;BenchmarkMarshalInt64NearestDelta/precisionBits_4-2;46;-0.14819587628865927;-0.5357968854396877;0.12275487789119577;-0.4575953109334452;0.06460783046904339;-0.3809082603044689;0.028400655796967378
9;BenchmarkMarshalInt64NearestDelta/precisionBits_4-2;51;0.10239527167150708;-0.2194862204213055;1.4357464719629176;-0.20649887010052437;0.4912988389832673;-0.11259366628272316;0.4286581193270633
10;BenchmarkMarshalInt64NearestDelta/precisionBits_4-2;56;0.009085835182953694;-1.1422845691382744;0.5817021684897394;-0.8078633610900887;0.23148148148148806;-0.5399033360839356;0.14292210745143752
12;BenchmarkMarshalInt64NearestDelta/precisionBits_4-2;61;0.08448361017963091;-0.11932555123216337;0.20298756050591837;-0.07534130912019155;0.16785728227348695;-0.04797655632058362;0.14147208846548853
13;BenchmarkMarshalInt64NearestDelta/precisionBits_4-2;66;2.0201896153657195;-1.197788305602021;4.439164215131619;-0.9556670105170806;3.8487989389399235;-0.8745698350539954;2.836237459455382
