;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkMarshalVarInt64s/up-to-(1<<27)-1-2;1;0.20109375383181582;-0.4356079042149297;0.9795998334680256;-0.18158617981939296;0.7004138809296512;-0.1250245146107054;0.45372050816696596
11;BenchmarkMarshalVarInt64s/up-to-(1<<27)-1-2;6;-0.12464561540717067;-0.7298740846363949;0.7843710416057581;-0.47622501027388964;0.4135749908770192;-0.44092570036541323;0.27179188507084895
1;BenchmarkMarshalVarInt64s/up-to-(1<<27)-1-2;11;0.017120356103417222;-1.3186046511627914;2.2372020320437613;-0.5996861018060851;1.113749296257316;-0.48767403867254755;0.8200132181235054
2;BenchmarkMarshalVarInt64s/up-to-(1<<27)-1-2;16;-0.15220700152207556;-0.4323928178820102;0.4995548521119719;-0.29170956513212554;0.3536452665941159;-0.24992036851003707;0.1884068609459444
3;BenchmarkMarshalVarInt64s/up-to-(1<<27)-1-2;21;0.06883666043859815;-0.08361820909470463;0.13771733516956264;-0.058895705521477826;0.11555293307763392;-0.04425431479568864;0.10328800137717753
4;BenchmarkMarshalVarInt64s/up-to-(1<<27)-1-2;26;-0.024676734774453646;-0.6522645349550049;0.2100165542460397;-0.44283512343111786;0.12584513645561568;-0.3744035237978727;0.10366275051831852
5;BenchmarkMarshalVarInt64s/up-to-(1<<27)-1-2;31;-0.1837739825047202;-0.7137463155586943;0.22496637730773372;-0.5489143693583776;0.08322725937530695;-0.4640031259157906;0.044452127528216145
6;BenchmarkMarshalVarInt64s/up-to-(1<<27)-1-2;36;0.009834775767103565;-0.3632261703327644;0.4709147576040129;-0.1840264998159702;0.2906712689617619;-0.11286958655379875;0.17517119002661286
7;BenchmarkMarshalVarInt64s/up-to-(1<<27)-1-2;41;0.07130387745568623;-0.14959046544705812;0.30266492777872855;-0.03684055408192943;0.2335644391994851;-0.01718888124938589;0.19901719901720405
8;BenchmarkMarshalVarInt64s/up-to-(1<<27)-1-2;46;0.0;-0.1908723846812621;0.3842294608551011;-0.15407190022009853;0.28878392599300806;-0.14425427872860608;0.23017777560114805
9;BenchmarkMarshalVarInt64s/up-to-(1<<27)-1-2;51;-0.024614172840720094;-0.18177352001964575;0.11345418670611895;-0.13030116779348955;0.06659267480577657;-0.10572903860339711;0.05172923440732724
10;BenchmarkMarshalVarInt64s/up-to-(1<<27)-1-2;56;-0.02215057468435422;-0.40903472300258814;1.1680164252309888;-0.14504154579870754;0.9791614361034373;-0.11813639831655953;0.8463556518763626
12;BenchmarkMarshalVarInt64s/up-to-(1<<27)-1-2;61;-0.09359375384843105;-0.30053702517613967;0.09339133426724544;-0.19453815656628182;0.049238041310717406;-0.18227498891570937;0.024628722015607174
13;BenchmarkMarshalVarInt64s/up-to-(1<<27)-1-2;66;0.09779711987480955;-0.8349171870757566;1.5555231993787721;-0.3911884794992826;1.1464471602503856;-0.19356895609400349;0.8787775228238148
