;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkMarshalZeroConstArray-2;1;-0.10319917440660964;-0.3095975232198178;0.3092783505154628;-0.25813113061434745;0.20703933747412417;-0.20661157024793875;0.15487867836860847
11;BenchmarkMarshalZeroConstArray-2;6;0.15495867768595684;-0.4104669061056998;0.908173562058523;-0.25227043390514403;0.671487603305776;-0.10319917440660964;0.5675954592363253
1;BenchmarkMarshalZeroConstArray-2;11;0.5162622612286949;-3.7456875308033544;6.19514713474445;-0.4909180166912108;5.069124423963123;-0.20671834625323182;4.439855446566865
2;BenchmarkMarshalZeroConstArray-2;16;-0.05175983436852549;-0.31023784901758056;0.3619441571871773;-0.2583979328165342;0.25826446280992066;-0.20703933747412417;0.20703933747412417
3;BenchmarkMarshalZeroConstArray-2;21;0.0;-0.4115226337448541;0.25799793601650745;-0.25813113061434745;0.10351966873705098;-0.20650490449147796;0.10351966873705098
4;BenchmarkMarshalZeroConstArray-2;26;-0.05178663904712444;-0.46272493573265017;0.4149377593360981;-0.31023784901758056;0.2593360995850613;-0.25826446280992066;0.20703933747412417
5;BenchmarkMarshalZeroConstArray-2;31;-0.10335917312661591;-0.6150691952844678;0.25879917184266077;-0.3611971104231171;0.1556016597510368;-0.30975735673722804;0.10373443983402453
6;BenchmarkMarshalZeroConstArray-2;36;-0.05175983436852549;-0.5141388174807249;0.19120458891013214;-0.3611971104231171;0.10362694300518616;-0.3091190108191699;0.051813471502581976
7;BenchmarkMarshalZeroConstArray-2;41;-0.05170630816959676;-0.20639834881320818;0.20714655618849775;-0.15495867768594573;0.15527950310558758;-0.10341261633919352;0.10357327809424888
8;BenchmarkMarshalZeroConstArray-2;46;0.1547189272820937;-0.25706940874036244;0.36175710594315014;-0.15432098765432167;0.30991735537189147;-0.1029866117404743;0.30975735673721694
9;BenchmarkMarshalZeroConstArray-2;51;0.051759834368536595;-0.10351966873706209;0.671487603305776;-0.05178663904712444;0.41343669250646364;-0.051679586563302404;0.31168831168830735
10;BenchmarkMarshalZeroConstArray-2;56;0.051813471502581976;-0.8110687022900742;2.2243256034074843;-0.5151983513652758;1.0019083969465603;-0.28571428571428914;0.8161305808929376
12;BenchmarkMarshalZeroConstArray-2;61;-7.2058061171591525;-7.564766839378234;-6.957424714434057;-7.468879668049788;-7.050285121824784;-7.417012448132776;-7.057602490918525
13;BenchmarkMarshalZeroConstArray-2;66;-7.139188495120696;-8.341232227488149;-5.946717411988578;-7.892057026476573;-6.2919030428055684;-7.739307535641549;-6.436346426881212
