;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;1;0.30774583541648415;-2.6941361481768844;4.743810267623072;-1.5828305008641963;3.7714587984918113;-1.225933073686658;2.983000802016722
11;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;6;-1.3153142390604278;-3.317192560475146;1.5151698866486374;-2.7924033585330355;0.7622112754379184;-2.6055247505930357;0.5022842165907981
1;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;11;1.8820781382981933;-2.222781572045085;5.2980601766360325;-1.3733358930026474;4.060983863724066;-1.1661030013432994;3.2292154121227545
2;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;16;-0.4956321679586595;-3.057302250976701;4.779695235443171;-2.61967096744673;3.5334335889028567;-2.361848783239895;3.2656346308926665
3;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;21;0.4767196013130359;-1.7766257222002868;2.4523451985468236;-1.2033239484812053;1.9481086691715666;-0.9443929955185615;1.7230137528917444
4;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;26;-1.0501040856401134;-3.141466858281017;2.763477099760281;-2.439626930010186;2.0502313232846126;-2.148170137029959;1.332134763890691
5;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;31;0.11318844918630777;-2.355334150101762;2.7668085542848386;-1.9676880222841198;1.9807193231186293;-1.72134943203891;1.7199115226343986
6;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;36;-0.8346602938912762;-3.6494239588798716;2.9609084741469616;-3.1163577711540102;2.392458161083666;-2.864094236939496;0.878997984147456
7;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;41;0.7087045583869411;-2.356386329538729;3.705957536286797;-1.5498274786417299;2.7177590811273244;-1.2777944468585267;2.4360738243757174
8;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;46;-0.48877089672674234;-2.146727529774206;0.96113068969923;-1.8744336798873995;0.425944095563624;-1.7389990940547273;0.262850908118617
9;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;51;0.869599833829926;-2.110980324205469;3.7355852121693234;-1.1695882078188724;2.9369609607608593;-0.7063111834351821;2.6576140047715135
10;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;56;0.048426957736080745;-4.266844844179952;4.69602827829636;-2.330373104240069;3.9654510070457283;-1.815007799483781;3.570209471338326
12;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;61;5.558737227262656;0.7249349016119844;7.052247056729133;1.4603744709800193;6.687199110157738;1.9388590582915866;6.470622653179081
13;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;66;2.4589552610609244;-1.66417048986236;8.255613316534971;-0.6908983276602054;6.850811741420215;0.4619191999637673;6.212394124555609
