;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkMergeBlockStreamsTwoSourcesWorstCase-2;1;1.0286651313355266;-7.855582874083877;5.649771276082283;-7.065348510025782;4.706836448906593;-5.343618939283079;3.60459411068097
11;BenchmarkMergeBlockStreamsTwoSourcesWorstCase-2;6;-0.018615059483573226;-2.0260775236258355;4.262739246090952;-1.4241440044275633;2.7205519230389275;-1.1683424530351871;2.3677980676817256
1;BenchmarkMergeBlockStreamsTwoSourcesWorstCase-2;11;1.1077885074043614;-2.5035685386498474;5.352063346803626;-1.5316759871390695;4.5647085163248;-0.7925870462123008;4.053194280799266
2;BenchmarkMergeBlockStreamsTwoSourcesWorstCase-2;16;0.927771205757355;-2.279908490380611;5.274566746142062;-1.4319590208651811;4.467100579680672;-1.0610389280473087;4.027744001714684
3;BenchmarkMergeBlockStreamsTwoSourcesWorstCase-2;21;0.49320744683303275;-2.4521779142032907;3.077511882534867;-1.7744364869231921;2.5208922270598233;-1.3965118568104895;1.9894461766982063
4;BenchmarkMergeBlockStreamsTwoSourcesWorstCase-2;26;-0.04507328884222339;-3.8481541335968816;2.380254694195294;-3.2492635721729335;1.5756124760260004;-2.923510568728327;1.2660214605676678
5;BenchmarkMergeBlockStreamsTwoSourcesWorstCase-2;31;-1.1810980998891774;-4.734314282619634;2.7689271650675362;-3.965440752077609;1.5320415183577296;-3.215133088330613;1.2258237754484425
6;BenchmarkMergeBlockStreamsTwoSourcesWorstCase-2;36;-1.1912762021409562;-7.902171088638255;3.5897348713458843;-4.362872443654597;1.5865709371588599;-3.349474583477452;1.188199902676601
7;BenchmarkMergeBlockStreamsTwoSourcesWorstCase-2;41;-0.3886082878220565;-2.594112554813033;2.0068456339629837;-2.033340149378471;1.4580431253813586;-1.7709309102887816;1.0277788170929947
8;BenchmarkMergeBlockStreamsTwoSourcesWorstCase-2;46;-0.2420883467941337;-2.780987526224632;2.5828947809142466;-2.070438344727854;1.7312422881786915;-1.8355749075238292;1.4516323304681666
9;BenchmarkMergeBlockStreamsTwoSourcesWorstCase-2;51;-0.897613018110377;-4.47927082378905;3.3126659232656896;-3.351698320447616;2.438659414639832;-2.846701298287413;1.9694068941389142
10;BenchmarkMergeBlockStreamsTwoSourcesWorstCase-2;56;1.0300362411685082;-3.9205701106891477;5.222749663576098;-3.0274061718316703;3.713189408385875;-2.5063218599466364;3.285619453011135
12;BenchmarkMergeBlockStreamsTwoSourcesWorstCase-2;61;6.054801858028247;-4.241328499137209;7.708459523906019;-1.5462192429494759;7.325108825037141;-1.2651475039710647;7.053581542876564
13;BenchmarkMergeBlockStreamsTwoSourcesWorstCase-2;66;-1.353658358945975;-6.99548454652229;6.040763443843411;-5.939339897413676;4.988941807099012;-5.521464002374177;4.147012928045779
