;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkRegexpFilterMismatch-2;1;-0.2780867630700734;-1.5401540154015403;1.0584958217270124;-1.2121212121212088;0.49972237645752315;-0.9966777408637828;0.3342618384401197
11;BenchmarkRegexpFilterMismatch-2;6;0.60606060606061;-1.2439156300703136;2.947719688542816;-0.4904632152588517;2.5527192008879096;-0.2188183807439792;2.245929253228529
1;BenchmarkRegexpFilterMismatch-2;11;-1.1456628477905073;-4.444444444444439;2.986725663716805;-3.974562798092207;2.4096385542168752;-3.5657264502394925;2.077638053581188
2;BenchmarkRegexpFilterMismatch-2;16;0.11061946902655162;-2.2788931090613085;2.3555804823331528;-1.4843320505772417;1.9026301063234552;-1.158301158301156;1.675041876046901
3;BenchmarkRegexpFilterMismatch-2;21;1.3912075681691727;-0.8319467554076532;3.633314700950252;-0.05589714924538747;3.272323904603436;0.1653803748621785;2.960893854748603
4;BenchmarkRegexpFilterMismatch-2;26;0.498614958448762;-0.5521811154058476;2.893711741791871;-0.33057851239669533;2.459474566797093;-0.22062879205736463;2.20994475138121
5;BenchmarkRegexpFilterMismatch-2;31;0.49559471365638874;-2.168021680216803;2.348993288590595;-1.4634146341463428;2.0078081427774785;-1.0964912280701733;1.6666666666666607
6;BenchmarkRegexpFilterMismatch-2;36;2.345058626465657;-1.5450186467767746;6.366630076838642;0.0;4.152823920265791;0.5443658138268859;3.8440111420612766
7;BenchmarkRegexpFilterMismatch-2;41;0.7206208425720728;-1.3789299503585206;2.2321428571428603;-0.8314855875831473;1.8952062430323213;-0.5506607929515406;1.777777777777767
8;BenchmarkRegexpFilterMismatch-2;46;1.377410468319562;-1.1394465545306542;4.095185390149414;-0.5425935973955465;3.7284362826933704;-0.325027085590468;3.31858407079646
9;BenchmarkRegexpFilterMismatch-2;51;1.3259668508287303;-2.1995708154506466;5.829596412556048;-1.4285714285714235;4.309392265193379;-0.928961748633883;3.662597114317423
10;BenchmarkRegexpFilterMismatch-2;56;0.5509641873278293;-5.882352941176472;4.307012700165647;-2.5283797729618196;3.905390539053899;-1.7775520568816705;3.5339591385974645
12;BenchmarkRegexpFilterMismatch-2;61;-1.3289036544850474;-2.4242424242424288;0.33185840707965486;-2.1511307225592913;-0.05561735261401246;-2.041942604856517;-0.38932146829810943
13;BenchmarkRegexpFilterMismatch-2;66;-1.3050570962479635;-4.598308668076112;2.390216787103938;-3.840084166228297;1.442841287458374;-3.382663847780132;0.9164420485175295
