;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkScrapeWorkScrapeInternal-2;1;0.45604502231708643;-0.05804953560371029;0.9511253413692522;0.12603005332041395;0.8003904343582224;0.19402405898332198;0.7494646680942241
11;BenchmarkScrapeWorkScrapeInternal-2;6;-0.6689287445467818;-1.6649023193147872;0.4313236844627699;-0.9979653134386202;-0.06676204101097039;-0.9033250048049224;-0.24314335732348313
1;BenchmarkScrapeWorkScrapeInternal-2;11;-1.2510910677916764;-2.2264875239923265;-0.19157088122605526;-2.029626779530591;-0.5373406193078356;-1.8083878414774879;-0.8288639687957122
2;BenchmarkScrapeWorkScrapeInternal-2;16;-0.6426484907497532;-1.0999707972354722;-0.24390243902439046;-0.9658536585365862;-0.35985216883874793;-0.9150199552224292;-0.4207024752959643
3;BenchmarkScrapeWorkScrapeInternal-2;21;-0.5650267900633166;-1.1119706052987843;-0.20420070011668567;-0.8246822547783084;-0.39051059259982424;-0.7757951900698168;-0.4293101766025931
4;BenchmarkScrapeWorkScrapeInternal-2;26;-0.09785693316370914;-0.3518373729476165;0.5751608500682348;-0.28342455043002257;0.4404423999216922;-0.2641361768734085;0.391389432485334
5;BenchmarkScrapeWorkScrapeInternal-2;31;-0.14621308119699972;-0.8977700550246159;0.3990656024917216;-0.6603865203457349;0.20394289598912874;-0.5255474452554698;0.174808196562104
6;BenchmarkScrapeWorkScrapeInternal-2;36;-0.28259598518807216;-0.93828593538402;0.4668352460610814;-0.534967415621046;0.21394534668870424;-0.4381267646772491;0.07817844229454085
7;BenchmarkScrapeWorkScrapeInternal-2;41;-0.1950648590656412;-0.49741539061738393;0.09764671418805992;-0.4378283712784592;0.029291154071464653;-0.4087193460490468;-0.009763718023825252
8;BenchmarkScrapeWorkScrapeInternal-2;46;-1.2876367508955378;-1.6231884057971047;-0.5921755169401077;-1.5280464216634426;-0.6898561989895025;-1.4990328820116083;-0.7684077424375046
9;BenchmarkScrapeWorkScrapeInternal-2;51;-1.074638530676042;-1.4876033057851235;-0.794727660399297;-1.4396887159533023;-0.8804539229113728;-1.4011871168629009;-0.9295499021526377
10;BenchmarkScrapeWorkScrapeInternal-2;56;-1.5608233343088473;-1.7453198127925118;1.9992198166569164;-1.6973953760608729;1.0446947674418672;-1.6773941876340959;0.5359738372092915
12;BenchmarkScrapeWorkScrapeInternal-2;61;-0.8692255103037394;-1.2453784783031718;-0.49809551714035116;-1.104486364969215;-0.5950058525165836;-1.075163718111627;-0.6253664256400282
13;BenchmarkScrapeWorkScrapeInternal-2;66;-1.7130418322922614;-2.408386853041178;3.242481203007519;-2.104170598226085;3.035714285714275;-1.9780427787242094;2.4100887435777762
