;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkSetAddWithAllocs/items_1000-2;1;0.6386375731772143;-0.7127099949092108;1.7319477751132517;-0.5508662816525955;1.4695467422096264;-0.3495281370150316;1.182074805928024
11;BenchmarkSetAddWithAllocs/items_1000-2;6;0.20260747004932078;-0.6865386286608155;1.1495269254576002;-0.40553645420082773;0.998145040190801;-0.24650057223347677;0.8814455707360169
1;BenchmarkSetAddWithAllocs/items_1000-2;11;4.194028543910333;2.4008350730688965;4.960440928082499;2.837981516316357;4.6980454027522045;2.93508000994942;4.6429827646851995
2;BenchmarkSetAddWithAllocs/items_1000-2;16;4.610337795903896;2.2233712512926607;5.511527377521608;3.258081067213947;5.314270299433499;3.4760528850363404;5.1042223409941245
3;BenchmarkSetAddWithAllocs/items_1000-2;21;4.315910497921638;3.801478352692711;5.164903546981958;3.8942731277533005;4.98710996533025;3.9442336539309952;4.862654458174065
4;BenchmarkSetAddWithAllocs/items_1000-2;26;4.608337150710029;2.844835322624073;5.34201954397393;3.04226868886297;5.264629146477828;3.405712226326707;5.137273150302457
5;BenchmarkSetAddWithAllocs/items_1000-2;31;3.8325991189427366;2.6208452659897574;5.7949349278930695;3.053435114503822;5.285726787433265;3.224927325581395;5.123705913318122
6;BenchmarkSetAddWithAllocs/items_1000-2;36;2.578236130867717;1.3696209242732182;3.680816765180017;1.8118529096751157;3.3063006862133593;2.022412887410252;3.1969535954658124
7;BenchmarkSetAddWithAllocs/items_1000-2;41;2.163461538461542;1.4540296125542973;3.003832783670557;1.6342481570299272;2.7638640429338057;1.7717236467236441;2.6562082182012725
8;BenchmarkSetAddWithAllocs/items_1000-2;46;2.4047744426891393;0.0949421715863874;3.255895811334031;1.0989969472307015;3.0654369784804514;1.4521914093255095;2.9688186209925416
9;BenchmarkSetAddWithAllocs/items_1000-2;51;2.445555158871837;1.7378263937896987;3.3168270578342485;1.8674308958121388;3.125;1.942785847963635;2.963227418779013
10;BenchmarkSetAddWithAllocs/items_1000-2;56;2.551337896701922;-0.7673034763545306;3.5850902944577934;-0.09565563969708979;2.889458337015105;0.7410358565737019;2.788485196424184
12;BenchmarkSetAddWithAllocs/items_1000-2;61;2.24861728171184;0.5544446464279318;4.078864068011212;1.2288512911843297;3.308489365569889;1.45635459068294;3.134182174338873
13;BenchmarkSetAddWithAllocs/items_1000-2;66;1.2341387102381418;-1.3209928481278888;6.604182938470893;-1.068665762819998;3.2281205164992777;-0.591027133518407;2.291497975708512
