;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkSetHasMiss/items_1000-2;1;-0.18837121687805825;-1.0704505850136936;0.541493514670699;-0.8608858390517726;0.3789792824658855;-0.7228315054835455;0.2641177210413792
11;BenchmarkSetHasMiss/items_1000-2;6;0.22443890274315148;-1.5162721893491105;1.881821603312006;-1.2217697149203954;1.4678208505833679;-0.9976598103214718;1.2689723811893483
1;BenchmarkSetHasMiss/items_1000-2;11;-0.2752752752752774;-4.568955152098109;3.6881188118811803;-2.5953454368222273;2.1146146146146183;-1.9982941391495035;1.6313823163138341
2;BenchmarkSetHasMiss/items_1000-2;16;47.107021303416104;44.509803921568626;47.993437657748615;46.30535691883075;47.77240325865579;46.4556004036327;47.64862466725821
3;BenchmarkSetHasMiss/items_1000-2;21;46.5417505030181;45.61249999999999;47.675744141861934;45.92360676268004;47.51171330885147;46.069951109439636;47.13456197929815
4;BenchmarkSetHasMiss/items_1000-2;26;45.59468605088357;44.245587869748945;46.958821307140155;44.506726457399104;46.63643235071806;44.631290483308426;46.54453569172456
5;BenchmarkSetHasMiss/items_1000-2;31;46.97809116091665;45.924354013231806;47.83377541998233;46.18081642875032;47.62266059686393;46.30306083889659;47.4949647532729
6;BenchmarkSetHasMiss/items_1000-2;36;46.87775955594802;44.90786852589641;47.611807931078175;45.910687405920726;47.555724417426546;46.09404388714733;47.52060875079265
7;BenchmarkSetHasMiss/items_1000-2;41;47.33383876674249;46.2707182320442;47.91851195748449;46.504024144869206;47.79635258358663;46.59462176426237;47.74455144450076
8;BenchmarkSetHasMiss/items_1000-2;46;46.42991121670625;45.66791510611736;47.541603630862326;45.85408366533865;47.21804511278196;45.97500000000001;47.08981435022579
9;BenchmarkSetHasMiss/items_1000-2;51;46.978680459190116;45.75187969924812;48.10974838791251;46.00250626566415;47.77440566514921;46.11138986452583;47.63470781684796
10;BenchmarkSetHasMiss/items_1000-2;56;46.55411364495401;34.971600788223014;58.481583563016784;44.70072655979702;52.65280403276622;45.37846615038721;51.75394637935356
12;BenchmarkSetHasMiss/items_1000-2;61;47.0030349013657;45.98567659253676;47.561595123190244;46.21785173978821;47.440446021287386;46.31870902672719;47.38782254989196
13;BenchmarkSetHasMiss/items_1000-2;66;45.99129894344314;38.93510815307821;54.40640932265113;41.78523653167942;49.8194496326734;42.134013109978156;49.109699912837755
