;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkStorageAddRows2;1;0.6453214197071233;-1.702748722938463;3.4047919293821005;-0.9975669099756668;2.9869477911646625;-0.7520621057738985;2.7568922305764465
11;BenchmarkStorageAddRows2;6;-0.32218091697645557;-2.3454678719765476;1.983513652756308;-1.6852540272614625;1.5550539252570772;-1.38716868962101;1.2820512820512775
1;BenchmarkStorageAddRows2;11;-1.6747572815533962;-4.420803782505911;3.451751070798692;-4.113475177304959;2.03439089367885;-3.230403800475057;1.605216955104094
2;BenchmarkStorageAddRows2;16;0.07500000000000284;-2.2144812142324;2.327935222672073;-1.768368617683691;1.7938352703385618;-1.4936708860759484;1.55517156257714
3;BenchmarkStorageAddRows2;21;0.25050100200401104;-1.7096134786917738;3.0663963507349123;-0.9438648782911119;2.340371406766728;-0.6511394941147053;2.0232675771370667
4;BenchmarkStorageAddRows2;26;0.2771478961955065;-2.396837163330867;2.574560285495786;-1.736285858077502;2.0035061357375428;-1.5315089128797421;1.7961042246395165
5;BenchmarkStorageAddRows2;31;-0.29917726252804977;-4.013621989783511;2.2681954137587335;-3.384465546627713;1.5632879475542039;-2.8612647270978564;1.2102874432677657
6;BenchmarkStorageAddRows2;36;-0.8836524300441795;-2.6239067055393583;2.94584183095401;-2.182539682539686;1.3698630136986356;-2.0767163449792347;0.8118081180811698
7;BenchmarkStorageAddRows2;41;0.5761523046092121;-1.1613540894489738;3.08988764044944;-0.8180466038671286;2.4099441907661;-0.7188894397620271;1.8939393939394034
8;BenchmarkStorageAddRows2;46;-0.4405286343612369;-3.1438935912938337;2.2744313921519543;-2.542988617098574;1.758296186230801;-2.1570528356761987;1.566384883142713
9;BenchmarkStorageAddRows2;51;0.5011275369581458;-1.9173306772908405;3.3611321708364894;-1.269920318725104;2.5870646766169125;-0.8557764913163846;2.2267206477732726
10;BenchmarkStorageAddRows2;56;-0.5426739023187022;-3.9775280898876386;3.456913827655317;-2.974568574023617;2.309307207837641;-2.137478746660193;1.8186410709775114
12;BenchmarkStorageAddRows2;61;-0.22618748429253932;-1.9292604501607746;2.899287894201419;-1.443145060960438;2.3496715512885347;-1.247193813918679;2.0781171757636496
13;BenchmarkStorageAddRows2;66;20.60546875;16.749000235238775;24.693641618497118;17.29004940014114;23.117469879518083;18.095689246802472;22.48946193900323
