;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkUnionPartialOverlap/items_1000-2;1;-1.530037043002097;-8.745850772117192;7.615230460921851;-3.5368754956383808;3.7305379990750787;-2.935452481349332;2.8854824165915227
11;BenchmarkUnionPartialOverlap/items_1000-2;6;-1.1030008110300082;-2.902036235369565;3.832641328649;-2.5071862024912184;3.4378481617061807;-2.2495894909688063;2.6361483820047438
1;BenchmarkUnionPartialOverlap/items_1000-2;11;1.5863043819695388;-1.3350086382911908;6.577380952380962;-0.6468504543354348;5.374077976817704;-0.385030032342526;4.6807237924330725
2;BenchmarkUnionPartialOverlap/items_1000-2;16;2.6493256262042353;-4.619136422321047;18.6922286888052;-2.69281428362359;15.432098765432102;-1.931801551295187;13.480146813480154
3;BenchmarkUnionPartialOverlap/items_1000-2;21;2.694660274425531;0.3886639676113468;6.081300813008128;0.8780487804878057;4.6671018276762455;1.1586161879895585;4.32835820895523
4;BenchmarkUnionPartialOverlap/items_1000-2;26;1.9020781965480849;-1.2417077734308557;5.960148122024345;-0.25514543289675284;4.40126224879589;0.08796622097113627;4.168742733765152
5;BenchmarkUnionPartialOverlap/items_1000-2;31;1.2613763372185893;-1.919809717974852;6.151368760064413;-1.2824474660074192;4.404622341316355;-0.803461063040789;4.043170103092786
6;BenchmarkUnionPartialOverlap/items_1000-2;36;0.6451612903225712;-7.356821356510945;19.019607843137255;-6.037560142790621;1.7798947104537444;-5.549510337323182;1.4776689357463013
7;BenchmarkUnionPartialOverlap/items_1000-2;41;2.509200401472067;-1.0833333333333361;6.206088992974235;-0.5720053835800765;4.984944797591173;-0.28716216216215784;4.57219700790048
8;BenchmarkUnionPartialOverlap/items_1000-2;46;-0.6000315806095058;-2.4838861814180158;1.8629617934954323;-2.0843202273803874;1.3263855992420748;-1.963556393339616;1.1165048543689382
9;BenchmarkUnionPartialOverlap/items_1000-2;51;1.2256548018804603;-2.610837438423641;4.314976494291467;-1.854449119526258;2.753988245172123;-1.5327606535287197;2.198917456021654
10;BenchmarkUnionPartialOverlap/items_1000-2;56;-0.5447342357213558;-4.6844246161920955;4.311840875717521;-3.5290343278793657;2.464885706416964;-3.0493707647628265;1.9089574155653377
12;BenchmarkUnionPartialOverlap/items_1000-2;61;1.227854762322389;-1.1863823933975226;14.779202279202286;-0.7393397524071532;11.698717948717952;-0.5879301400657067;10.685126020589287
13;BenchmarkUnionPartialOverlap/items_1000-2;66;-3.885697006350164;-9.881249083712063;3.658536585365857;-7.790046891544399;2.7694814010317703;-6.988098870918524;2.0771110507738166
