;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkUnmarshalConstArray-2;1;-0.13613380007778675;-0.48506014745828274;0.3112840466926059;-0.40681906237892695;0.17550702028081844;-0.3298409002716385;0.1170275014628519
11;BenchmarkUnmarshalConstArray-2;6;-0.17458777885548393;-0.8106543138390321;0.384541434339547;-0.7502885725278907;0.23068050749712743;-0.6932409012131768;0.1362132710644115
1;BenchmarkUnmarshalConstArray-2;11;-0.3674337652291637;-1.699121802214587;0.6335010247810802;-1.298205421916765;0.3702260327357765;-1.0356731875719172;0.3277424330055956
2;BenchmarkUnmarshalConstArray-2;16;-0.05851375073142595;-0.27247956403270157;0.21455041934854702;-0.175575497463909;0.1566170712607784;-0.13642564802183177;0.1365054602184168
3;BenchmarkUnmarshalConstArray-2;21;0.03899395593682797;-0.17547280171573698;0.27306417007997297;-0.1170503316426097;0.21442495126706707;-0.11698186781048392;0.17540440459948847
4;BenchmarkUnmarshalConstArray-2;26;0.05867396831604754;-0.17564402810303914;0.136986301369868;-0.15612802498048417;0.11709601873535203;-0.1366120218579181;0.09784735812132794
5;BenchmarkUnmarshalConstArray-2;31;-0.0779727095516547;-0.23373587845734178;0.29239766081872176;-0.19477989871444779;0.19474196689386325;-0.15600624024960652;0.1362928348909609
6;BenchmarkUnmarshalConstArray-2;36;0.0;-0.6196746707978318;0.19436345966958868;-0.25281991443018015;0.09758001561279706;-0.1753702260327339;0.07804878048780495
7;BenchmarkUnmarshalConstArray-2;41;-0.05853658536585371;-0.2143413873733402;0.07810974419057981;-0.17540440459948847;0.058525165821299296;-0.1365054602184057;0.03903200624510994
8;BenchmarkUnmarshalConstArray-2;46;0.07777561734396699;-0.19406171162429375;0.25281991443018015;-0.11652748106428801;0.1948178453146321;-0.07777561734396699;0.1944768572539779
9;BenchmarkUnmarshalConstArray-2;51;0.05855943782939743;-0.4078461837249914;0.21471793870779798;-0.33067496595993173;0.15615850087840055;-0.29148853478430103;0.13669205233353132
10;BenchmarkUnmarshalConstArray-2;56;-0.039054872095289905;-0.3895597974289067;1.3086150490730697;-0.15600624024960652;0.9814612868048078;-0.13634592910011234;0.5763688760807018
12;BenchmarkUnmarshalConstArray-2;61;-0.05857087075361589;-0.31225604996096834;0.1956181533646406;-0.25316455696202667;0.11741682974559797;-0.21429962984609308;0.09773260359655644
13;BenchmarkUnmarshalConstArray-2;66;-0.3095975232198178;-1.4440433212996373;1.4598540145985384;-0.8104978772674687;1.0615329255127648;-0.6379277015271634;0.9831962817304252
