;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkUnmarshalDeltaConstArray-2;1;0.018318373328440885;-0.9254218835057171;0.4007285974499064;-0.618856934838008;0.2755833180231537;-0.5440696409140355;0.2197399743636641
11;BenchmarkUnmarshalDeltaConstArray-2;6;-0.18278194114421664;-0.5053239487457173;0.7492690058479523;-0.3830020062009831;0.40124019697245217;-0.36146755828664334;0.3647638154295141
1;BenchmarkUnmarshalDeltaConstArray-2;11;0.21961932650074178;-1.7743324720068898;1.7990187170634275;-1.0069444444444464;1.049191606467148;-0.9646856158484041;0.6495726495726606
2;BenchmarkUnmarshalDeltaConstArray-2;16;0.03679852805886785;-0.7644703312704726;0.2753303964757814;-0.5469462169553352;0.1474926253687281;-0.3281677301732011;0.12891344383056946
3;BenchmarkUnmarshalDeltaConstArray-2;21;-0.05510653930933529;-0.34798534798534675;0.18389113644723398;-0.2748259435690681;0.12891344383056946;-0.23813885326983142;0.09197939661516052
4;BenchmarkUnmarshalDeltaConstArray-2;26;0.0;-0.29427993378701167;0.35107169253509873;-0.2575896964121416;0.2583502491234624;-0.1653803748621785;0.22136137244050946
5;BenchmarkUnmarshalDeltaConstArray-2;31;0.03669051550174718;-0.45905251560778293;0.42419771302102394;-0.31261493196027557;0.33100404560499896;-0.2575896964121416;0.2932551319648091
6;BenchmarkUnmarshalDeltaConstArray-2;36;-0.05513692335967768;-0.45762401610836;0.3902273498473052;-0.25688073394495303;0.22054769343871072;-0.1836210062431176;0.14713996689350584
7;BenchmarkUnmarshalDeltaConstArray-2;41;0.7167800036757876;0.4404477885850522;1.010843594927402;0.5322077445402806;0.9553555024802485;0.5692251193536446;0.9366391184572942
8;BenchmarkUnmarshalDeltaConstArray-2;46;0.8411044066557016;0.2730251183108878;1.1519473395501967;0.43779642466252877;1.0612991765782231;0.5106693416013108;1.0412860796492618
9;BenchmarkUnmarshalDeltaConstArray-2;51;0.7723427730783383;0.07266121707538709;1.451672179345831;0.21758839528558394;1.084160235207654;0.3291278113000562;0.995208256542579
10;BenchmarkUnmarshalDeltaConstArray-2;56;0.6256900993743209;-1.479880279348189;0.9583486914854333;-0.6205971150620604;0.8663594470046165;-0.1501752044051341;0.8278145695364225
12;BenchmarkUnmarshalDeltaConstArray-2;61;0.03683919690551374;-1.1119212541013446;0.44133872747333935;-0.5322077445402806;0.3490722028293147;-0.31198385024775455;0.27583670467083987
13;BenchmarkUnmarshalDeltaConstArray-2;66;1.1293260473588251;-0.053782717820005654;2.6391473523938336;0.12655939251491333;2.4192184063610123;0.3764790247400507;1.965768513811228
