;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkUnmarshalInt64Array-2;1;-0.2982465161721626;-1.6088605879962081;1.3657927168976736;-1.0895060679199098;0.7479961304588167;-0.8599884428430626;0.48493602971522165
11;BenchmarkUnmarshalInt64Array-2;6;-0.06335833418952275;-1.496229971724783;1.0487353485502782;-0.882653061224492;0.8664048504891886;-0.7193140948062782;0.6643894107600357
1;BenchmarkUnmarshalInt64Array-2;11;-0.3951352183506951;-1.3867488443759624;1.1234418016107695;-1.080419936805621;0.7115855014454109;-1.0036318827420732;0.5938996549889275
2;BenchmarkUnmarshalInt64Array-2;16;0.10705898604779218;-0.6703524533517635;1.016315897717135;-0.5200324804339962;0.7348638694799181;-0.43827107238374463;0.6552672072477117
3;BenchmarkUnmarshalInt64Array-2;21;-0.10346611484738366;-0.674373795761074;0.8050384301750535;-0.5699919064593328;0.6357982031789833;-0.5061024943622927;0.501634637006787
4;BenchmarkUnmarshalInt64Array-2;26;0.15557476231633505;-0.7073811445152178;1.1787111385628934;-0.330015896053637;0.8560459324847836;-0.20245693500788864;0.7694431026154191
5;BenchmarkUnmarshalInt64Array-2;31;-0.551239427400041;-1.2165908079805665;0.04134295705500168;-0.9183900759042518;-0.09503568157862574;-0.8194749862561856;-0.12919896640827266
6;BenchmarkUnmarshalInt64Array-2;36;-0.18045888115493236;-1.0857229966632187;1.3683119368471441;-0.709231949535416;0.7874288885805436;-0.6502642234575529;0.6219573465463091
7;BenchmarkUnmarshalInt64Array-2;41;-0.20911101894096618;-1.1391556846102269;0.5218117303277037;-0.9507599202255745;0.37864971427579164;-0.9064639306477718;0.24805287168900847
8;BenchmarkUnmarshalInt64Array-2;46;-0.5312697517894094;-1.826128201653343;0.33635365183963817;-1.621154627998378;0.16617556362639174;-1.4652511616863984;0.041227904419982586
9;BenchmarkUnmarshalInt64Array-2;51;-0.12276303276562706;-0.6953289043406419;0.3169489764106803;-0.5514642326176378;0.23566106394039554;-0.4577014750077768;0.19043661923063837
10;BenchmarkUnmarshalInt64Array-2;56;-0.496503856924424;-2.3250333830806658;0.5328843450035592;-1.7579137538292322;0.28293207894325434;-1.4876817242197249;0.17878530141812732
12;BenchmarkUnmarshalInt64Array-2;61;-1.558004921839795;-2.3607550286491086;-1.0899324207243155;-2.1566734475743865;-1.2738522331409596;-2.078987743281213;-1.3309763959654775
13;BenchmarkUnmarshalInt64Array-2;66;-3.197941867993326;-5.5065859499733865;-1.9994522048753738;-4.423895689196378;-2.183502053370734;-4.097274338544077;-2.2684179680766747
