;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkUnmarshalInt64NearestDelta-2;1;-0.031222355206328434;-0.5234788017000058;0.370892754531682;-0.3847353644587659;0.2975413686902906;-0.32234584589788673;0.22977701185440402
11;BenchmarkUnmarshalInt64NearestDelta-2;6;0.026040310400499145;-1.0049992269236752;0.6780368226151356;-0.8527918781725874;0.39527747438496963;-0.8013234761929389;0.3127117319018158
1;BenchmarkUnmarshalInt64NearestDelta-2;11;-0.12419788863589076;-1.7384232196411276;1.2464422416331278;-1.1133810010214518;0.8115825860427917;-0.8375893769152154;0.551074595461154
2;BenchmarkUnmarshalInt64NearestDelta-2;16;0.14632107023411223;-0.36057692307692735;0.7690295579387829;-0.23945861530453305;0.574682618462985;-0.17158901830283124;0.46037143604498176
3;BenchmarkUnmarshalInt64NearestDelta-2;21;-0.35911314666389194;-1.1564871702204549;0.8847254748894029;-1.0133912414042712;0.4489859111317607;-0.957061562338335;0.11502065143513818
4;BenchmarkUnmarshalInt64NearestDelta-2;26;0.010480532411039079;-0.3134632464343534;0.7651189602766895;-0.20381499869349673;0.5446166736489344;-0.10987286140323738;0.4389861510321502
5;BenchmarkUnmarshalInt64NearestDelta-2;31;0.07818200771396722;-0.559237779618893;0.48717284270536343;-0.4560767038092717;0.3458938210785689;-0.3056678064449314;0.26013214713074273
6;BenchmarkUnmarshalInt64NearestDelta-2;36;-0.16178696310213958;-1.0906647368965183;0.7070812103566526;-1.0036213140196537;0.1810188776829591;-0.9318699523710894;0.09176084226794057
7;BenchmarkUnmarshalInt64NearestDelta-2;41;0.10959762016595764;-0.3697146427827591;0.4071831280016758;-0.27101683431489665;0.31813914676124266;-0.20862671465080584;0.2871163082063033
8;BenchmarkUnmarshalInt64NearestDelta-2;46;0.07275372862858287;-1.0119169919868498;0.7537166025574304;-0.276965687028774;0.6024096385542244;-0.18176152887411368;0.4369083532716145
9;BenchmarkUnmarshalInt64NearestDelta-2;51;0.020900825582614857;-0.4264835907837883;0.3961634695579752;-0.2560351133869765;0.24490646657286952;-0.19816437213182603;0.18894662257911143
10;BenchmarkUnmarshalInt64NearestDelta-2;56;-0.4215676069532659;-1.2398615487937192;1.5761736691969341;-1.1365397530609056;1.1194209891435491;-1.0355718945787795;0.6274547370437755
12;BenchmarkUnmarshalInt64NearestDelta-2;61;-0.0366377054328515;-0.46305931321539706;0.18758793184305844;-0.2918642831083562;0.12062726176116367;-0.20876826722338038;0.0837433267036447
13;BenchmarkUnmarshalInt64NearestDelta-2;66;0.15521523178807506;-1.8654931598584112;1.218374118622978;-1.281928632928342;1.00889900662251;-1.102792391744234;0.9725311675547132
