;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkUnmarshalInt64NearestDelta2-2;1;-0.13256175593341357;-0.32831110658658735;0.19166879631995482;-0.23942944472745697;0.12002655906839799;-0.20890123047919706;0.09703779366700971
11;BenchmarkUnmarshalInt64NearestDelta2-2;6;0.033157344351764095;-0.5462960621158808;0.5228658147779841;-0.38923290787311604;0.3368120231685756;-0.3212018513366499;0.19903036488899684
1;BenchmarkUnmarshalInt64NearestDelta2-2;11;-0.040796552691302335;-1.105106859451832;1.1374851954204512;-0.7667591645976302;0.7967539653264577;-0.5475562766173225;0.246742992499005
2;BenchmarkUnmarshalInt64NearestDelta2-2;16;-0.11980932473425465;-0.43538038496792053;0.3132720372870157;-0.3516550722421852;0.2421677840373171;-0.29304589353514876;0.17573797213661368
3;BenchmarkUnmarshalInt64NearestDelta2-2;21;-0.09965249386754138;-0.25281544472535167;0.09214466712739178;-0.2094026915906988;0.04095213718966484;-0.1938182189125781;0.02299672935404118
4;BenchmarkUnmarshalInt64NearestDelta2-2;26;-0.02544658761259866;-0.40409688159198653;0.303092048290976;-0.31537718093493927;0.24436807941963234;-0.2695966224121271;0.19077658789712348
5;BenchmarkUnmarshalInt64NearestDelta2-2;31;-0.015313544830397596;-0.22163911038646233;0.21449911902147178;-0.19106819860902347;0.1533036946190336;-0.1605791043254423;0.11746980259965678
6;BenchmarkUnmarshalInt64NearestDelta2-2;36;-0.02808701869063679;-0.18136303259426168;1.9090002675032247;-0.14809518945970712;0.2608829096117482;-0.13020833333333703;0.16880658857230113
7;BenchmarkUnmarshalInt64NearestDelta2-2;41;-0.4798611465618441;-0.6786926236827973;-0.3270228149510723;-0.6304236855538492;-0.352508429549403;-0.5962239152037085;-0.367844279255114
8;BenchmarkUnmarshalInt64NearestDelta2-2;46;-0.39471338715016957;-0.7713063842785917;-0.0739343259229086;-0.6692282246367642;-0.14531919233122803;-0.6286266924564798;-0.19087855034103374
9;BenchmarkUnmarshalInt64NearestDelta2-2;51;-0.4979316684541102;-0.9903252837662802;0.2549069589599773;-0.9090678245854633;0.07137394850880163;-0.7820062152936957;-0.10492373835602198
10;BenchmarkUnmarshalInt64NearestDelta2-2;56;-0.37471322967117526;-2.213584869886709;-0.20408163265306367;-1.8651941034270259;-0.23717834281196115;-1.7720738245480816;-0.2623268133659318
12;BenchmarkUnmarshalInt64NearestDelta2-2;61;-0.35948295642862504;-0.5320503029377366;0.0;-0.4763481672058534;-0.07901914302465007;-0.46617077644182103;-0.11239399203024636
13;BenchmarkUnmarshalInt64NearestDelta2-2;66;0.2510141987829506;-1.4235851408626266;5.124188291179221;-1.0720518573921756;3.6368165400423536;-0.7298542782413708;3.469286247202197
