;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkUnmarshalVarInt64s/up-to-(1<<13)-1-2;1;-0.01513775355737046;-0.3447962979765906;0.18200570284534479;-0.2201978764478807;0.1274039919917591;-0.19347037484884755;0.10614745397750092
11;BenchmarkUnmarshalVarInt64s/up-to-(1<<13)-1-2;6;-0.009075233687272366;-1.5457823491162759;0.6018266497308522;-1.0267309246565048;0.3681018616298992;-0.8335566074246126;0.26095399927175134
1;BenchmarkUnmarshalVarInt64s/up-to-(1<<13)-1-2;11;0.1845074256677126;-0.9089593284122177;1.6689847009735637;-0.691455786997186;1.5137753557372013;-0.47053422849601123;1.378726492108595
2;BenchmarkUnmarshalVarInt64s/up-to-(1<<13)-1-2;16;-0.1061828772525919;-0.28454669290146617;0.23019142234068646;-0.18201674554059188;0.17254427122748162;-0.16063526701824982;0.11812454567481367
3;BenchmarkUnmarshalVarInt64s/up-to-(1<<13)-1-2;21;0.0030329683661456386;-0.13035438202928518;0.12745038538568565;-0.09987893462469755;0.09406195952301744;-0.0818677986658578;0.07883326763893361
4;BenchmarkUnmarshalVarInt64s/up-to-(1<<13)-1-2;26;0.024252713272288062;-0.13882601478798495;0.4696685049391025;-0.0665698378116697;0.3121022968304965;-0.048639610883116635;0.25945815483015
5;BenchmarkUnmarshalVarInt64s/up-to-(1<<13)-1-2;31;-0.03328894806924332;-0.4190280959845638;0.3124052168638203;-0.3020509257860904;0.2914920750592076;-0.25033176498974186;0.25506331035738405
6;BenchmarkUnmarshalVarInt64s/up-to-(1<<13)-1-2;36;0.045515232431125874;-0.1847421181743858;0.3913834951456252;-0.13023988369275097;0.273301025583228;-0.09696969696969537;0.17296313154300247
7;BenchmarkUnmarshalVarInt64s/up-to-(1<<13)-1-2;41;0.03942619719163876;-0.10910082734794102;0.16080584969204725;-0.0697033063611796;0.13350324655623247;-0.05149954559224845;0.1243894299323367
8;BenchmarkUnmarshalVarInt64s/up-to-(1<<13)-1-2;46;0.07257332930148408;-0.08453595797355273;0.23285351397122067;-0.045317220543805714;0.181532131187212;-0.02416553390726106;0.16955824022768518
9;BenchmarkUnmarshalVarInt64s/up-to-(1<<13)-1-2;51;0.00303517770965378;-0.43977228229765686;0.20634824300540533;-0.31988411745179635;0.08812982434813765;-0.17559262510974394;0.07897214713119549
10;BenchmarkUnmarshalVarInt64s/up-to-(1<<13)-1-2;56;-0.03341230787923255;-1.1347794568672298;1.6924292000451313;-0.4955456570155947;0.9318874957641388;-0.12141079341952965;0.6122796076875048
12;BenchmarkUnmarshalVarInt64s/up-to-(1<<13)-1-2;61;0.015190181066948583;-0.11236978771220762;0.38645284970939553;-0.06683679669461373;0.2737975723281938;-0.05166388086916829;0.22481467979098557
13;BenchmarkUnmarshalVarInt64s/up-to-(1<<13)-1-2;66;0.20446823225186428;-1.7989212033587276;1.3712605395024946;-1.3766335306601096;0.9881183317167697;-0.5783239726408262;0.8198705149149887
