;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;bench-fast-queue-throughput-serial-1000000;1;8.224936905340229;-12.575027257045457;24.46237922331973;-9.865202330197642;21.26912837263413;-2.460195312959257;19.391761228148894
11;bench-fast-queue-throughput-serial-1000000;6;5.80944879939056;-7.842420240996595;21.440054528924236;-4.125035625167872;18.08702587771187;-2.211390210362685;16.243596445925277
1;bench-fast-queue-throughput-serial-1000000;11;2.4037946773790564;-6.007826100749892;22.762971447009495;-3.938536510512447;18.288884684211236;-2.888992500268428;15.278342852336158
2;bench-fast-queue-throughput-serial-1000000;16;7.785717659821567;-6.953610744248884;33.48767093787015;-5.856610452025635;28.19682583612795;-4.594449116904964;25.78097139238178
3;bench-fast-queue-throughput-serial-1000000;21;-2.741881231606702;-16.399720065444157;6.830722768357345;-12.351187503745276;5.522567409298063;-11.019444102932695;5.101441393296113
4;bench-fast-queue-throughput-serial-1000000;26;-9.270333293446564;-22.233092057191918;5.3303785090008216;-20.0869362447608;1.8699246823008053;-18.84577000802392;0.04961192317891605
5;bench-fast-queue-throughput-serial-1000000;31;-3.469289455582192;-21.7166856157611;21.671862551525866;-19.59079853214404;14.573992865313802;-18.552593032309794;11.41794172558881
6;bench-fast-queue-throughput-serial-1000000;36;-3.3612835409212005;-21.358778848082437;24.264436018724567;-16.85572262353786;17.963004352002578;-12.105731506345109;10.67789504383807
7;bench-fast-queue-throughput-serial-1000000;41;-0.8388229292065841;-10.008168621574443;22.051009128122057;-8.620140896198002;19.19814568752656;-6.989628402790993;17.39943256426246
8;bench-fast-queue-throughput-serial-1000000;46;3.186326762904468;-8.982743184914288;14.088764630172479;-4.87292042864147;12.101047751496852;-2.735515195090632;10.565624377614014
9;bench-fast-queue-throughput-serial-1000000;51;-3.7423377945574487;-18.68293241461737;10.952124769952976;-9.522867262865041;7.174817782844745;-9.082401286277708;3.8739826715223025
10;bench-fast-queue-throughput-serial-1000000;56;-3.9496129728118334;-21.972966807287776;18.547127234855054;-19.94611246064243;15.860062739738968;-18.45417883782122;12.230979883813475
12;bench-fast-queue-throughput-serial-1000000;61;0.9367906344174504;-10.043882822590112;21.93914980860978;-7.759885334449201;20.11812898496852;-6.180041877030251;17.48639492874706
13;bench-fast-queue-throughput-serial-1000000;66;-0.01939286107052185;-11.523575043534906;15.287480686943699;-7.178870374039925;9.876684133092727;-6.169545431689039;4.0704044275928775
