;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;bench-index-db-add-tsids;1;-15.94897435441548;-29.186429500790734;37.47710984564527;-26.590695123363407;20.205622470817076;-24.585049172911045;12.431178434186418
11;bench-index-db-add-tsids;6;-0.15709761282983736;-33.28701291072919;47.83303287628793;-28.774019219264623;40.118161165917265;-23.926626111771633;32.67898266906486
1;bench-index-db-add-tsids;11;-0.9387902533821157;-27.020179924379605;38.1488987206513;-23.23817187596258;31.098031524463355;-21.512021793317682;28.2052621152028
2;bench-index-db-add-tsids;16;-0.4883298030125438;-31.498631675876254;43.32537910519119;-27.999912436940477;36.75656417743074;-22.897509270291227;30.29636450335893
3;bench-index-db-add-tsids;21;-5.8381337142079825;-33.53575525302772;48.10584348808693;-29.069903284678855;44.616085550021545;-27.669465138799676;42.596165837728876
4;bench-index-db-add-tsids;26;3.491624722189579;-29.47557597842;50.194272639497406;-27.146626619940818;45.807431216326464;-24.802047644883864;42.20903242300806
5;bench-index-db-add-tsids;31;-12.669934454622156;-34.48090530027037;47.24936071516706;-31.979106768936262;44.94687717207824;-31.023982762893798;40.41446568492153
6;bench-index-db-add-tsids;36;2.816055398872086;-31.67702022952237;52.84844681971281;-28.39691680197205;45.7011930481852;-26.059047027123118;35.92269799712948
7;bench-index-db-add-tsids;41;-12.038336697043517;-33.286719496586855;47.88620821714278;-31.3424825717477;35.616097442597706;-30.781324213152196;20.561691178512742
8;bench-index-db-add-tsids;46;-35.25254140260709;-40.52308998807096;-10.160392080269675;-39.872288381026756;-16.113902380947643;-39.55985003558909;-18.31296373967568
9;bench-index-db-add-tsids;51;-21.292297963754237;-38.48660573724752;58.82054114786379;-37.357826039728224;54.31454593673979;-36.37172753733546;27.48786566777406
10;bench-index-db-add-tsids;56;-6.624623763064941;-35.66530085084493;23.303288055643367;-30.63668499825193;12.461776066120734;-26.76203598260041;8.655654715010662
12;bench-index-db-add-tsids;61;-5.144824952283966;-32.04256789982115;66.90440811671662;-27.845341317966323;64.12876920058747;-25.221056585386346;61.608615401081266
13;bench-index-db-add-tsids;66;11.927526706726766;-5.571896180726199;47.53973863368641;-2.852256051053803;29.182486425443855;-1.8260167154226625;26.032216338155777
