;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;1;-0.24809791597750763;-0.8500453907732908;1.3491280026324493;-0.6519765618552498;0.9240924092409175;-0.6189650903689059;0.7568196939454319
11;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;2;0.16005391289697357;-0.8588343200200077;0.9208414294162415;-0.5738396624472619;0.7165739335693866;-0.3864247311827995;0.6402156515878943
22;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;3;0.07594936708861244;-0.750484863816514;0.6343031123139387;-0.5300799326882655;0.490154652243735;-0.4291123264619223;0.40506329113925155
33;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;4;0.38542103058232247;-3.104681404421328;1.3628762541806116;-1.7473992197659327;1.1866689109577555;-0.47726701833710194;1.0450025282319197
44;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;5;0.8306065945129726;0.23403543965228035;1.7215189873417636;0.3943945623898548;1.507324921669917;0.5118737937400253;1.360201511335002
55;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;6;0.5966386554621783;-0.4586773413393419;1.9682378780199405;-0.23350846468184194;1.6777674732316061;-0.1253342245989275;1.5393674293405102
66;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;7;0.4781077000503231;-1.0093488872342182;1.7080353386621727;-0.4011700793982498;1.3807038221922863;-0.20829861689718454;1.2804313031758108
67;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;8;0.2852348993288567;-1.047294489236139;2.0037043273278377;-0.6105720976915308;1.63770887023027;-0.42713567839195443;1.170723490272052
68;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;9;0.25081514923501746;-1.3254786450662692;1.1055276381909618;-1.1151197113807854;0.8829654310703816;-1.0177281680892936;0.7226890756302451
1;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;10;-0.893448047650558;-3.771131339401823;0.5049250889826995;-2.7620739783556725;0.2091175240485077;-2.2913256955810146;0.025098301681580892
2;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;11;0.3111073740855952;-0.709397429477554;1.40940163726897;-0.4168056018672872;1.1258782697028735;-0.26906583704700004;1.0242952679251571
3;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;12;1.219204574119237;-0.04150410890678691;2.5297242600556435;0.433839479392617;2.2050159905739664;0.6040775232821538;1.9532232374884773
4;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;13;0.40325968243299926;-0.7106429228325384;1.9932432432432368;-0.36052653642995036;1.189773014935458;-0.20122411335624646;1.0294489916462757
5;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;14;0.12629451881789322;-0.7072493053801421;0.9474663734032607;-0.5720535038277075;0.7344251224041809;-0.5302137687258068;0.6590621039290312
6;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;15;0.5622220357472507;-0.8365774869543596;1.3511231210943997;-0.5397326247612688;1.1991217699712786;-0.40050062578222967;1.0796221322537214
7;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;16;0.5295897780766667;-0.8399168399168433;1.4849814377320358;-0.5098203092352649;1.2832418742085183;-0.39202602385519647;1.164360445494439
8;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;17;0.7505629221916443;-1.080373219839581;2.2331691297208467;-0.7975006166241916;1.774232929112074;-0.5524861878453025;1.4100959532749258
9;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;18;0.5128636287203614;-0.6699045386032498;2.077527235875354;-0.4590601786161441;1.4545148814528286;-0.34450886480127396;1.2443248696822007
10;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;19;0.28682301332882965;-0.6614199598124593;1.9476158495634666;-0.4029550033579632;1.239460370994938;-0.22740672113198412;1.123310810810807
12;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;20;0.22546972860124637;-0.9772521967643888;0.8654406257801339;-0.8357709987463435;0.7102866215425774;-0.6758448060075084;0.6430062630480071
13;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;21;0.194700753407262;-0.7625180038973167;1.487209994051164;-0.41535983724675374;1.1176968670618015;-0.279803289808378;0.8778593736811002
14;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;22;0.6326978235194902;-0.9782608695652173;1.5278129484257663;-0.2090301003344508;1.3630206569590353;-0.0422012153949991;1.2338375728893736
15;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;23;0.8827238335435084;-0.933177803699381;1.7257344894351379;-0.3921241448356372;1.5573423614049897;-0.15163002274450887;1.4242373167031808
16;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;24;-0.35105315947843163;-1.1244315832988794;0.7022237084099547;-0.8515611955251301;0.40823127551445904;-0.7498125468632821;0.3531786074671972
17;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;25;0.7842806544105185;-0.7527601204416201;2.4843670779111093;-0.35300050428643814;2.190765082574986;-0.24404611630060025;2.027424917977627
18;BenchmarkMergeBlockStreamsFourSourcesBestCase-2;26;-0.1588363149974903;-1.2322196493549487;0.9193657219973117;-0.9420591913297249;0.7748673460793443;-0.7599799565725762;0.6906426345489658
