;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;1;0.3347110429114286;-2.9136667470807454;4.434910418001681;-2.2658124062828633;3.2446771086898085;-1.7755776529675305;2.7940995749438535
11;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;2;-0.7200241201291036;-2.6330185835214737;2.0336853183135606;-2.0788999735499525;1.4467664721762974;-1.8555405061182917;1.21572608356737
22;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;3;0.23101868962012162;-2.517661385479597;2.283303507029566;-2.004617677017251;1.6652513165954286;-1.700081688635191;1.464222060487419
33;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;4;0.30122165254329314;-2.275988385303618;2.9173446763919975;-1.0822918576034457;2.1867568787226066;-0.8824475153805023;1.8174370465799283
44;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;5;1.1540683794606377;-2.568694018351547;2.4027430465191513;-1.745096516702127;2.0392182586699503;-1.5637931689740259;1.8421714701031489
55;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;6;1.2451633027626974;-2.719487994872549;9.467076184381785;-2.104649870806319;7.253752708011474;-1.568021660976826;5.014388866245456
66;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;7;0.11247085396826062;-2.2454407482051297;2.8641230486365687;-1.5962430371951664;2.1427733679139527;-1.3825450670221895;1.7963531634391572
67;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;8;-0.3670547197731966;-2.568608882918322;2.377914792656033;-2.0731605060570146;2.035982431784067;-1.803680749437886;1.6123301477590557
68;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;9;-1.0548683148779436;-2.8816738422553168;3.414129349862427;-2.5080187144353228;2.2992026053162418;-2.3215151855928595;1.7699314390907883
1;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;10;1.2173113640744804;-4.4826862453342216;3.677758706605383;-3.145826299566845;3.0181121490163942;-2.79592096304776;2.6296697417283577
2;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;11;0.43933130887165994;-2.045561980133548;2.6501695475347864;-1.4704322951732074;2.1720194379574176;-1.1563935294026106;1.8510442986944708
3;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;12;-0.6649571675261146;-4.038308319378969;3.5548883828839806;-3.264688488696532;2.400821507141959;-2.8356520086843195;2.10806509882997
4;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;13;0.9260154601352655;-1.4004406593837393;4.1786544485131305;-0.8194045534809624;3.478739902380523;-0.5909403162514093;3.175886874958178
5;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;14;0.6764065278801468;-0.8859629589449858;3.4608037082601406;-0.6417988046763634;2.912064983490681;-0.4625224308565712;2.582359151476221
6;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;15;-0.6717345684131071;-3.011050435840168;2.9521073012937826;-2.342685772652864;2.1245247871577444;-2.0837790807688217;1.8785820288487187
7;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;16;-0.6544996067759379;-2.6524847378045835;1.572051986424805;-2.2339018183131776;0.9766795938992212;-1.9901543175279257;0.6726674378992215
8;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;17;0.24328534905568855;-1.9935942779335303;2.5476313497301284;-1.5624823489505224;2.0194764206235005;-1.2677450404692814;1.8285426590906484
9;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;18;-0.351657516158177;-3.0423709005825916;2.626694572131205;-2.2160467347109747;2.0069062710638574;-2.0231742097694516;1.605465590505939
10;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;19;-0.9611653617186744;-2.47144380649309;1.4258131449222722;-2.2998858765092223;0.8388318489806812;-2.101858554188485;0.5593722390595524
12;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;20;-0.33349578171032457;-2.7575371885297906;3.973408682778956;-2.2625839228450295;3.488769622858734;-1.8986279407394724;3.114910126607162
13;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;21;0.17447903497664896;-1.8684664316912847;2.6073873952739968;-1.2694611705039383;2.2531753315939707;-1.0029279958470583;1.9998817829469884
14;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;22;-0.08348045223484091;-2.316990726609247;2.490485465892589;-1.7291763605102095;2.0588774380855046;-1.4114805880946935;1.5560832679380132
15;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;23;-0.32548644430441254;-3.875187701075211;2.634783231199145;-3.130040393137057;2.087161719425179;-2.8368143912340438;1.6979120416243498
16;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;24;-0.3729996202605501;-2.467995389882116;1.7292237078502692;-1.9498388213536555;1.1453956801316556;-1.8226189346926325;0.961944982238494
17;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;25;-0.6766797373416789;-2.7318534948288065;1.6890457098305056;-2.303122657297363;1.104488466997644;-2.092530802061132;0.8435983527261381
18;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;26;-0.29433656494697313;-3.321836040500925;2.375201313680364;-2.5139547804747697;1.8132029880635114;-2.148161516959479;1.5234699140338037
19;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;27;-0.09558227191229784;-2.247713802017637;2.0212207811514116;-1.6889466608650872;1.158786390511013;-1.287272615535895;0.8121385756501454
20;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;28;-0.4138584598470829;-3.6342146490544347;3.7194876321588133;-2.848549688861657;2.6329276364205567;-2.6035058502903885;2.105638219118333
21;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;29;-0.6122019199458761;-3.595623527139802;2.0572013757292895;-2.5743053586225084;1.2110935531374656;-2.3788676863486957;0.946275823641618
23;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;30;0.723030112786982;-2.0197371217960502;2.2995271579092202;-1.4583684266058494;2.090637215045299;-1.1824559391663714;1.7705529321098812
24;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;31;0.337136561137652;-1.9905973189558224;3.5020653367620502;-1.3945627498958668;2.810461889624216;-0.9712954193045187;2.496008775178593
25;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;32;-0.8779907127034248;-3.3124710588281703;2.691893456547101;-2.6610609528391005;1.8681596292771108;-2.2920825991210036;1.4584506138403563
26;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;33;-0.2858150210234278;-2.607161556927373;2.433931860333116;-2.179408320846843;1.6583564032364162;-1.726664579014936;1.3446854839864963
27;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;34;0.03325827777238555;-2.184591171051753;3.191614714224089;-1.673476967063281;2.4377868471458397;-1.4464882709921634;2.092392203059368
28;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;35;0.9127276417259855;-2.0572359166659338;2.443557608232627;-1.5883767367065316;2.254877154323376;-0.9995384554020714;2.1297831931734734
29;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;36;-1.078830613092674;-3.0127349010157345;2.2480460896111776;-2.6288524083803666;1.6208179555241786;-2.3992102022705186;1.4385143109137744
30;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;37;0.15759014026877072;-3.9975866276094396;2.631792528519372;-2.459544227297028;1.9026442346201433;-2.1655530225611175;1.5518817543936247
31;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;38;0.45982490724161273;-4.212587360176878;3.9122511215208933;-3.4426639250599522;2.9187988004961696;-2.7316645119384475;2.3736732044735698
32;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;39;-0.8164884959582119;-2.993131859084075;1.5101274884659066;-2.3941095817924585;0.8527384896614087;-2.1409000008453916;0.48363831068287677
34;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;40;-0.06548362131412189;-3.1903275737122927;1.9371078817754572;-2.4281120512684495;1.554532574488432;-2.017972273008539;1.1311945891953057
35;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;41;0.15586506193707717;-2.0502177851443593;1.6730019013614594;-1.4058557878239397;1.0809333222660422;-1.1922490517902395;0.8122802504073379
36;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;42;0.990710597404787;-1.6309632980357813;4.463158463141892;-0.9918018170511744;3.679517312105607;-0.42756650145129305;3.4045365294741226
37;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;43;-0.3511370328243113;-2.5854594896190464;1.3795707541834012;-1.7143813911647654;0.8028566127054049;-1.5407500625186588;0.6380729602255109
38;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;44;0.9708713681060299;-1.852809781330822;2.7975492434217486;-1.245163795269233;2.126807665801067;-0.8443179396633083;1.8232960235585294
39;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;45;-0.7962144039331709;-3.403094563029996;3.0507594560069906;-2.6491449879496587;1.9652285531815306;-2.2776921023401675;1.668241240431123
40;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;46;-0.7662819662281439;-2.2573015883747383;1.8339023468320281;-1.7688465334545933;1.402915898274526;-1.6187885415593684;1.086115027463852
41;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;47;-1.1439618640490368;-3.136327548811557;2.9905727531158277;-2.3781337163764626;1.4363935759588164;-2.1789639066153166;0.9841302023925858
42;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;48;1.2714414967969878;-2.309622006230283;3.383138606381886;-1.3705479699577916;2.646477603606767;-0.9252519846858709;2.466657353589796
43;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;49;-1.3780502085880109;-4.2363847582085;2.1563500409447656;-3.5020461503537104;1.394012768691022;-3.0881125588386737;1.0147611008567647
45;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;50;-1.0160709225600084;-3.255531639568998;3.046117282289784;-2.6720349515060637;2.2628214269114766;-2.3707000727033134;1.48463824934979
46;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;51;0.779297687632563;-1.84499184565301;3.1035159400373713;-1.2947171623455045;2.372229625783473;-0.8605327092104709;2.0753246845581996
47;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;52;1.291421532052972;-2.2751370205509325;3.1785807435990687;-1.331627205812791;2.5394757541506996;-0.9842572760937918;2.1927538996731277
48;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;53;-0.2546880418915043;-3.27101290333891;1.9322002700099317;-2.458020774743097;1.5174883965757946;-1.972278897498836;1.2427738792043064
49;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;54;0.5700715673057521;-2.521217285229582;2.3526105152679166;-1.7157306179336307;1.9986581731862296;-1.5018732175107297;1.6744934243771548
50;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;55;0.020405123760647292;-2.599951115823884;3.2682320061922177;-1.8928329960892665;2.7561649104462127;-1.3984290447947134;2.378887129949181
51;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;56;0.3038306909195265;-2.605019319916879;2.7622568410613058;-1.664286391451808;2.1167624082246705;-1.3869979317369108;1.8561945340122676
52;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;57;1.76630539024758;-2.1514133348430997;4.330932375645435;-1.7247706540985952;3.4942469082832384;-1.2359823978322249;3.1504847084921295
53;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;58;-1.0730339958265556;-2.7666706139110264;3.04252474096276;-2.1709243422844415;2.370545980724015;-2.0023824762441356;1.4972796898715224
54;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;59;4.6483332663892485;-0.22991098670156473;8.728915664651726;0.5183849123089779;8.088717286053914;0.8760171938325234;7.5520809878500295
56;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;60;4.460229273371286;1.9377023399249405;8.059652173459654;2.3467183543173453;7.255232154323976;2.5731651604679717;6.92469478711617
57;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;61;4.054184977157949;1.6881395335256677;6.505004098114098;2.2482778408484005;5.782383489758081;2.6373159226732668;5.415409997599618
58;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;62;3.501288712162176;0.7853552443888301;6.581254222898725;1.2500748143010387;5.853924272060018;1.6426276797007144;5.426063793714064
59;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;63;3.7790209982822676;1.995637369489467;6.799779044662269;2.5455392508064723;6.294510140294429;2.7321650509569917;6.072383088345945
60;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;64;3.9513156478691247;1.1478144608699559;6.36374435769993;1.5802953210433568;5.500847542503484;1.9419808828708973;4.93790614475389
61;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;65;5.583557104423376;2.207533973164777;7.515989148257929;2.736886224088364;6.796108663824674;3.24352784721198;6.566226168271516
62;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;66;2.3642923228899493;0.03423539885900606;6.795039591857743;0.7330491198049849;5.276417971572878;1.2331293612915628;4.130693819571252
63;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;67;4.711468582576717;1.7515994641315702;7.592577626198138;2.351213845069644;7.18870074087703;2.525760849543812;7.050361239465319
64;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;68;4.853154423536887;1.8921898426377481;7.803194380253342;2.7185474132050524;6.9408353284940105;3.2271140800710585;6.671886232674162
65;BenchmarkMergeBlockStreamsFourSourcesWorstCase-2;69;3.6448942025149256;0.35604090494913976;7.163372714838068;1.1901134247503053;6.085971739748475;1.611974633746427;5.555423720604091
