;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;BenchmarkRowsUnmarshal-2;1;-0.2544529262086481;-1.2552301255230103;0.5993150684931559;-1.005025125628145;0.3427592116538092;-0.6734006734006703;0.25706940874035134
11;BenchmarkRowsUnmarshal-2;2;0.08568980291345785;-0.34100596760443525;0.3424657534246478;-0.17108639863130382;0.2566295979469668;-0.1707941929974366;0.17167381974247942
22;BenchmarkRowsUnmarshal-2;3;0.0;-0.8467400508044065;0.2575107296137302;-0.4266211604095571;0.17167381974247942;-0.2564102564102555;0.17152658662091813
33;BenchmarkRowsUnmarshal-2;4;0.0;-0.34217279726261873;0.42881646655230643;-0.25684931506849695;0.3427592116538092;-0.1713796058269046;0.34188034188034067
44;BenchmarkRowsUnmarshal-2;5;0.0;-0.679694137638065;0.3424657534246478;-0.4266211604095571;0.17152658662091813;-0.3415883859948732;0.16597510373443924
55;BenchmarkRowsUnmarshal-2;6;0.08561643835616195;-0.34188034188034067;0.6650041562759723;-0.2557544757033292;0.42955326460480947;-0.1712328767123239;0.42881646655230643
66;BenchmarkRowsUnmarshal-2;7;0.0;-0.4262574595055413;0.3424657534246478;-0.34071550255536653;0.2566295979469668;-0.2557544757033292;0.25553662691653045
67;BenchmarkRowsUnmarshal-2;8;0.0;-1.0998307952622688;0.42771599657827064;-0.5942275042444822;0.17152658662091813;-0.4258943781942026;0.1713796058269157
68;BenchmarkRowsUnmarshal-2;9;0.0;-0.4266211604095571;0.34305317324185847;-0.3415883859948732;0.25706940874035134;-0.2564102564102555;0.1707941929974366
1;BenchmarkRowsUnmarshal-2;10;-0.08547008547008517;-0.42553191489361764;0.5132591958939337;-0.2564102564102555;0.34217279726260763;-0.25553662691651935;0.25706940874035134
2;BenchmarkRowsUnmarshal-2;11;-0.17094017094017033;-0.6808510638297904;0.25684931506848585;-0.5115089514066473;0.17108639863130382;-0.4266211604095571;0.08561643835616195
3;BenchmarkRowsUnmarshal-2;12;0.0;-0.34071550255536653;0.34393809114359186;-0.1712328767123239;0.2577319587628857;-0.17108639863130382;0.25684931506848585
4;BenchmarkRowsUnmarshal-2;13;-0.08554319931565191;-0.34188034188034067;0.34188034188034067;-0.2566295979469668;0.1713796058269157;-0.2561912894961549;0.17108639863130382
5;BenchmarkRowsUnmarshal-2;14;0.08583690987125081;-0.3415883859948732;0.5141388174807249;-0.1713796058269046;0.34217279726260763;-0.08583690987123971;0.25706940874035134
6;BenchmarkRowsUnmarshal-2;15;0.0;-0.3415883859948732;0.42844901456726703;-0.2564102564102555;0.3424657534246478;-0.1712328767123239;0.2572898799313883
7;BenchmarkRowsUnmarshal-2;16;0.08554319931566301;-0.2561912894961549;0.42808219178083196;-0.17094017094017033;0.3427592116538092;-0.08561643835616195;0.34217279726260763
8;BenchmarkRowsUnmarshal-2;17;0.08525149190110604;-0.2557544757033292;0.5123825789923098;-0.2557544757033292;0.426621160409546;-0.17050298380221207;0.3415883859948732
9;BenchmarkRowsUnmarshal-2;18;0.0;-0.6814310051107331;0.42771599657827064;-0.4258943781942026;0.34334763948498104;-0.34071550255536653;0.2572898799313883
10;BenchmarkRowsUnmarshal-2;19;-0.08568980291345785;-0.25684931506849695;0.17167381974247942;-0.25684931506849695;0.17152658662091813;-0.1713796058269046;0.08576329331047017
12;BenchmarkRowsUnmarshal-2;20;0.0;-0.34100596760443525;0.5982905982905962;-0.25597269624573205;0.34188034188034067;-0.17094017094017033;0.2564102564102555
13;BenchmarkRowsUnmarshal-2;21;0.2575107296137302;-0.2577319587628857;1.1130136986301276;-0.0860585197934638;0.5159071367153878;-0.08583690987123971;0.42881646655230643
14;BenchmarkRowsUnmarshal-2;22;-0.08561643835616195;-2.491694352159468;1.0247651579846195;-0.7640067911714787;0.42735042735042583;-0.34188034188034067;0.25706940874035134
15;BenchmarkRowsUnmarshal-2;23;0.08547008547008517;-1.0118043844856706;1.4333895446880351;-0.7588532883642474;0.5145797598627766;-0.4269854824935915;0.42771599657827064
16;BenchmarkRowsUnmarshal-2;24;0.0;-0.5110732538330498;0.25706940874035134;-0.34129692832765013;0.17152658662091813;-0.2561912894961549;0.17152658662091813
17;BenchmarkRowsUnmarshal-2;25;-0.0859106529209619;-0.8510638297872353;2.468085106382989;-0.34217279726261873;0.4991680532445919;-0.1718213058419238;0.17196904557179593
18;BenchmarkRowsUnmarshal-2;26;-0.08503401360544505;-0.8382229673092989;1.181434599156117;-0.5102040816326481;0.5067567567567544;-0.34071550255536653;0.25706940874035134
19;BenchmarkRowsUnmarshal-2;27;0.17108639863130382;-0.3415883859948732;0.5988023952095745;-0.25597269624573205;0.42844901456726703;-0.17108639863130382;0.3427592116538092
20;BenchmarkRowsUnmarshal-2;28;0.08576329331047017;-0.34188034188034067;0.2575107296137302;-0.2566295979469668;0.1718213058419238;-0.2564102564102555;0.17167381974247942
21;BenchmarkRowsUnmarshal-2;29;-0.17064846416382506;-0.4258943781942026;0.3424657534246478;-0.34100596760443525;0.17152658662091813;-0.34071550255536653;0.1712328767123239
23;BenchmarkRowsUnmarshal-2;30;0.0;-0.2561912894961549;0.3427592116538092;-0.17094017094017033;0.25706940874035134;-0.1707941929974366;0.17167381974247942
24;BenchmarkRowsUnmarshal-2;31;0.0;-2.5662251655629187;0.5799502899751507;-0.5952380952380931;0.34305317324185847;-0.5102040816326481;0.25684931506848585
25;BenchmarkRowsUnmarshal-2;32;0.08561643835616195;-0.1712328767123239;0.42844901456726703;-0.17050298380221207;0.3427592116538092;-0.08568980291345785;0.34217279726260763
26;BenchmarkRowsUnmarshal-2;33;0.08576329331047017;-0.1713796058269046;0.34305317324185847;-0.1712328767123239;0.2572898799313883;-0.08576329331045907;0.25706940874035134
27;BenchmarkRowsUnmarshal-2;34;-0.08561643835616195;-0.34100596760443525;0.1713796058269157;-0.1712328767123239;0.08568980291345785;-0.17108639863130382;0.08568980291345785
28;BenchmarkRowsUnmarshal-2;35;0.08568980291345785;-0.34042553191488967;0.3427592116538092;-0.08568980291345785;0.2572898799313883;-0.08561643835616195;0.17152658662091813
29;BenchmarkRowsUnmarshal-2;36;0.0;-0.34129692832765013;0.8547008547008517;-0.25597269624573205;0.6843455945252375;-0.17094017094017033;0.5988023952095745
30;BenchmarkRowsUnmarshal-2;37;0.08576329331047017;-0.2572898799313883;0.5998286203941827;-0.17152658662092923;0.42771599657827064;-0.17108639863130382;0.2572898799313883
31;BenchmarkRowsUnmarshal-2;38;0.0;-0.5967604433077534;0.5947323704333041;-0.34100596760443525;0.34334763948498104;-0.2566295979469668;0.2575107296137302
32;BenchmarkRowsUnmarshal-2;39;0.17167381974247942;-0.1712328767123239;0.34305317324185847;-0.08568980291345785;0.2575107296137302;0.0;0.25706940874035134
34;BenchmarkRowsUnmarshal-2;40;0.08576329331047017;-0.17094017094017033;0.3427592116538092;-0.08576329331045907;0.2575107296137302;-0.08554319931565191;0.25706940874035134
35;BenchmarkRowsUnmarshal-2;41;-2.4722932651321416;-2.9736618521665203;0.5115089514066584;-2.8887000849617706;-0.4222972972973027;-2.8061224489795866;-1.2733446519524572
36;BenchmarkRowsUnmarshal-2;42;-2.305721605465416;-3.30788804071247;0.34188034188034067;-3.0586236193712812;-0.1697792869269965;-2.8887000849617706;-0.2548853016142716
37;BenchmarkRowsUnmarshal-2;43;-2.403433476394845;-3.1569965870307137;-2.060085836909875;-2.8156996587030747;-2.227934875749782;-2.7303754266211566;-2.2336769759450203
38;BenchmarkRowsUnmarshal-2;44;-2.305721605465416;-2.8037383177570097;-1.9691780821917804;-2.7187765505522488;-2.0547945205479423;-2.640545144804085;-2.0565552699228773
39;BenchmarkRowsUnmarshal-2;45;-2.3136246786632397;-2.6495726495726513;-1.9725557461406473;-2.566295979469635;-2.0565552699228773;-2.4850042844901443;-2.1404109589041043
40;BenchmarkRowsUnmarshal-2;46;-2.401372212692965;-2.487135506003435;-2.227934875749782;-2.487135506003435;-2.2317596566523656;-2.487135506003435;-2.315608919382506
