;name;number;medianPerfChange;minSmall;maxSmall;minMedium;maxMedium;minLarge;maxLarge
0;bench-index-db-add-tsids;1;10.277566198381693;-31.29242655773712;41.75793008679305;-24.976121798168105;37.33583991138405;-21.739159650535534;34.69645198684936
11;bench-index-db-add-tsids;2;2.1234841241885904;-32.49701764262949;50.72591194917291;-31.22522511485083;47.17938468914325;-29.91696239286562;45.21925449490831
22;bench-index-db-add-tsids;3;-9.716286642723738;-34.683409659514474;39.031567768825035;-33.17485253096654;26.458558964500178;-31.28697493361671;7.876873895521208
33;bench-index-db-add-tsids;4;10.255811856331265;-26.409666607042237;54.38929084372097;-23.374665099340653;51.07695249490125;-20.936197858326988;46.9474419128411
44;bench-index-db-add-tsids;5;8.314535781017106;-30.05323638893207;44.00497587996035;-27.251052863349933;41.55517210656221;-24.975092463986424;39.86000160155958
55;bench-index-db-add-tsids;6;-19.74681174695957;-29.92311382609707;50.04196337341469;-28.639026588553406;42.05113713395687;-27.81462658539724;33.80057470196489
66;bench-index-db-add-tsids;7;-31.214066024338017;-36.2395622201251;20.19047748866265;-35.42116673039113;-0.2653654128364713;-34.886003772512574;-5.578214402622949
67;bench-index-db-add-tsids;8;-23.006199972632736;-33.64230570717379;41.465704606742214;-32.613324475322514;34.52406470405545;-31.331061048733176;30.21349267124396
68;bench-index-db-add-tsids;9;6.013168259833512;-22.67776971777664;44.66499689458274;-13.694519182528397;37.1231458986264;-5.610473755113876;33.17997468019431
1;bench-index-db-add-tsids;10;1.1312769061646355;-27.394340226916402;44.36845428121352;-24.85051195179311;36.173710492053445;-20.209500492714394;32.0773484464963
2;bench-index-db-add-tsids;11;28.628699879236642;-27.30730650185097;48.30374454514767;-22.94993777983716;46.267406811410574;-20.04207817351378;44.42402305800377
3;bench-index-db-add-tsids;12;-4.172958177457719;-31.96821383076579;41.29118427418463;-30.168801726622196;35.617992205788454;-28.888405603661106;30.356383394116946
4;bench-index-db-add-tsids;13;22.90041565029599;-30.24849760014552;55.479276360703466;-25.907226468105726;50.7789954430409;-23.956763213725097;48.43417664075152
